"","bibkey","author","journal","year","vol","num","pages","title","doi"
"1","WOS001","Martin-Guay, Marc-Olivier; Paquette, Alain; Dupras, Jérôme; Rivest, David","Science of The Total Environment",2018,"615",NA,"767--772","The new Green Revolution: Sustainable intensification of agriculture by intercropping","10.1016/j.scitotenv.2017.10.024"
"2","WOS002","Coll, Lluís; Ameztegui, Aitor; Collet, Catherine; Löf, Magnus; Mason, Bill; Pach, Maciej; Verheyen, Kris; Abrudan, Ioan; Barbati, Anna; Barreiro, Susana; Bielak, Kamil; Bravo-Oviedo, Andrés; Ferrari, Barbara; Govedar, Zoran; Kulhavy, Jiri; Lazdina, Dagnija; Metslaid, Marek; Mohren, Frits; Pereira, Mário; Peric, Sanja; Rasztovits, Ervin; Short, Ian; Spathelf, Peter; Sterba, Hubert; Stojanovic, Dejan; Valsta, Lauri; Zlatanov, Tzvetan; Ponette, Quentin","Forest Ecology and Management",2018,"407",NA,"106--115","Knowledge gaps about mixed forests: What do European forest managers want to know and what answers can science provide?","10.1016/j.foreco.2017.10.055"
"3","WOS003","Blesh, Jennifer","Journal of Applied Ecology",2018,"55","1","38--48","Functional traits in cover crop mixtures: Biological nitrogen fixation and multifunctionality","10.1111/1365-2664.13011"
"4","WOS004","van Moorsel, Sofia J.; Hahl, Terhi; Wagg, Cameron; De Deyn, Gerlinde B.; Flynn, Dan F. B.; Zuppinger-Dingley, Debra; Schmid, Bernhard","Ecology Letters",2018,"21","1","128--137","Community evolution increases plant productivity at low diversity","10.1111/ele.12879"
"5","WOS005","Oram, Natalie J.; Ravenek, Janneke M.; Barry, Kathryn E.; Weigelt, Alexandra; Chen, Hongmei; Gessler, Arthur; Gockele, Annette; de Kroon, Hans; van der Paauw, Jan Willem; Scherer-Lorenzen, Michael; Smit-Tiekstra, Annemiek; van Ruijven, Jasper; Mommer, Liesje","Journal of Ecology",2018,"106","1","265--277","Below-ground complementarity effects in a grassland biodiversity experiment are related to deep-rooting species","10.1111/1365-2745.12877"
"6","WOS006","Siebenkäs, Alrun; Schumacher, Jens; Roscher, Christiane","Journal of Plant Ecology",2016,"10","6","981--993","Trait variation in response to resource availability and plant diversity modulates functional dissimilarity among species in experimental grasslands","10.1093/jpe/rtw110"
"7","WOS007","Landaverde-González, Patricia; Quezada-Euán, José Javier G.; Theodorou, Panagiotis; Murray, Tomás E.; Husemann, Martin; Ayala, Ricardo; Moo-Valle, Humberto; Vandame, Rémy; Paxton, Robert J.","Journal of Applied Ecology",2017,"54","6","1814--1824","Sweat bees on hot chillies: provision of pollination services by native bees in traditional slash-and-burn agriculture in the Yucatán Peninsula of tropical Mexico","10.1111/1365-2664.12860"
"8","WOS008","Husse, S.; Lüscher, A.; Buchmann, N.; Hoekstra, N. J.; Huguenin-Elie, O.","Plant and Soil",2017,"420","1-2","505--521","Effects of mixing forage species contrasting in vertical and temporal nutrient capture on nutrient yields and fertilizer recovery in productive grasslands","10.1007/s11104-017-3372-0"
"9","WOS009","Godwin, Casey M.; Hietala, David C.; Lashaway, Aubrey R.; Narwani, Anita; Savage, Phillip E.; Cardinale, Bradley J.","Environmental Science & Technology",2017,"51","19","11450--11458","Ecological Stoichiometry Meets Ecological Engineering: Using Polycultures to Enhance the Multifunctionality of Algal Biocrude Systems","10.1021/acs.est.7b02137"
"10","WOS010","Khlifa, Rim; Paquette, Alain; Messier, Christian; Reich, Peter B.; Munson, Alison D.","Ecology and Evolution",2017,"7","19","7965--7974","Do temperate tree species diversity and identity influence soil microbial community function and composition?","10.1002/ece3.3313"
"11","WOS011","Schuldt, Andreas; Fornoff, Felix; Bruelheide, Helge; Klein, Alexandra-Maria; Staab, Michael","Proceedings of the Royal Society B: Biological Sciences",2017,"284","1862","20171489","Tree species richness attenuates the positive relationship between mutualistic ant-hemipteran interactions and leaf chewer herbivory","10.1098/rspb.2017.1489"
"12","WOS012","Weisser, Wolfgang W.; Roscher, Christiane; Meyer, Sebastian T.; Ebeling, Anne; Luo, Guangjuan; Allan, Eric; Beßler, Holger; Barnard, Romain L.; Buchmann, Nina; Buscot, François; Engels, Christof; Fischer, Christine; Fischer, Markus; Gessler, Arthur; Gleixner, Gerd; Halle, Stefan; Hildebrandt, Anke; Hillebrand, Helmut; de Kroon, Hans; Lange, Markus; Leimer, Sophia; Le Roux, Xavier; Milcu, Alexandru; Mommer, Liesje; Niklaus, Pascal A.; Oelmann, Yvonne; Proulx, Raphael; Roy, Jacques; Scherber, Christoph; Scherer-Lorenzen, Michael; Scheu, Stefan; Tscharntke, Teja; Wachendorf, Michael; Wagg, Cameron; Weigelt, Alexandra; Wilcke, Wolfgang; Wirth, Christian; Schulze, Ernst-Detlef; Schmid, Bernhard; Eisenhauer, Nico","Basic and Applied Ecology",2017,"23",NA,"1--73","Biodiversity effects on ecosystem functioning in a 15-year grassland experiment: Patterns, mechanisms, and open questions","10.1016/j.baae.2017.06.002"
"13","WOS013","Flombaum, Pedro; Aragón, Roxana; Chaneton, Enrique J.","Oikos",2017,"126","9","1229--1232","A role for the sampling effect in invaded ecosystems","10.1111/oik.04221"
"14","WOS014","Tajmiri, Pejman; Fathi, Seyed Ali Asghar; Golizadeh, Ali; Nouri-Ganbalani, Gadir","International Journal of Tropical Insect Science",2017,"37","3","208--216","Strip-intercropping canola with annual alfalfa improves biological control of Plutella xylostella (L.) and crop yield","10.1017/S1742758417000145"
"15","WOS015","Milcu, Alexandru; Gessler, Arthur; Roscher, Christiane; Rose, Laura; Kayler, Zachary; Bachmann, Dörte; Pirhofer-Walzl, Karin; Zavadlav, Saša; Galiano, Lucia; Buchmann, Tina; Scherer-Lorenzen, Michael; Roy, Jacques","Scientific Reports",2017,"7","1","8392","Top canopy nitrogen allocation linked to increased grassland carbon uptake in stands of varying species richness","10.1038/s41598-017-08819-9"
"16","WOS016","Cadotte, Marc W.","Ecology Letters",2017,"20","8","989--996","Functional traits explain ecosystem function through opposing mechanisms","10.1111/ele.12796"
"17","WOS017","Thakur, Madhav P.; Tilman, David; Purschke, Oliver; Ciobanu, Marcel; Cowles, Jane; Isbell, Forest; Wragg, Peter D.; Eisenhauer, Nico","Science Advances",2017,"3","7","e1700866","Climate warming promotes species diversity, but with greater taxonomic redundancy, in complex environments","10.1126/sciadv.1700866"
"18","WOS018","Pei, Zhiqin; Leppert, Katrin N.; Eichenberg, David; Bruelheide, Helge; Niklaus, Pascal A.; Buscot, François; Gutknecht, Jessica L. M.","Biogeochemistry",2017,"134","1-2","163--181","Leaf litter diversity alters microbial activity, microbial abundances, and nutrient cycling in a subtropical forest ecosystem","10.1007/s10533-017-0353-6"
"19","WOS019","Correa-Araneda, Francisco; Basaguren, Ana; Abdala-Díaz, Roberto T.; Tonin, Alan M.; Boyero, Luz","Ecology and Evolution",2017,"7","14","5103--5110","Resource-allocation tradeoffs in caddisflies facing multiple stressors","10.1002/ece3.3094"
"20","WOS020","Wohlgemuth, Daniel; Filip, Joanna; Hillebrand, Helmut; Moorthi, Stefanie D.","Oecologia",2017,"184","3","653--661","Prey diversity effects on ecosystem functioning depend on consumer identity and prey composition","10.1007/s00442-017-3892-6"
"21","WOS021","Schuler, Laura J.; Bugmann, Harald; Snell, Rebecca S.","Landscape Ecology",2017,"32","7","1499--1516","From monocultures to mixed-species forests: is tree diversity key for providing ecosystem services at the landscape scale?","10.1007/s10980-016-0422-6"
"22","WOS022","Cesarz, Simone; Ciobanu, Marcel; Wright, Alexandra J.; Ebeling, Anne; Vogel, Anja; Weisser, Wolfgang W.; Eisenhauer, Nico","Oecologia",2017,"184","3","715--728","Plant species richness sustains higher trophic levels of soil nematode communities after consecutive environmental perturbations","10.1007/s00442-017-3893-5"
"23","WOS023","Piovia-Scott, Jonah; Rejmanek, Daniel; Woodhams, Douglas C.; Worth, S. Joy; Kenny, Heather; McKenzie, Valerie; Lawler, Sharon P.; Foley, Janet E.","Microbial Ecology",2017,"74","1","217--226","Greater Species Richness of Bacterial Skin Symbionts Better Suppresses the Amphibian Fungal Pathogen Batrachochytrium Dendrobatidis","10.1007/s00248-016-0916-4"
"24","WOS024","Baert, Jan M.; De Laender, Frederik; Janssen, Colin R.","Environmental Science & Technology",2017,"51","12","7228--7235","The Consequences of Nonrandomness in Species-Sensitivity in Relation to Functional Traits for Ecosystem-Level Effects of Chemicals","10.1021/acs.est.7b00527"
"25","WOS025","Schwarzer, Christian; Joshi, Jasmin","Perspectives in Plant Ecology, Evolution and Systematics",2017,"26",NA,"14--27","Parallel adaptive responses to abiotic but not biotic conditions after cryptic speciation in European peat moss Sphagnum magellanicum Brid.","10.1016/j.ppees.2017.03.001"
"26","WOS026","Brodbeck, Brent V.; Andersen, Peter C.; Oden, Steve; Mizell, Russell F.; McKamey, Stuart H.; Zapata, Mildred","Environmental Entomology",2017,"46","3","511--520","The distribution of cicadellinae leafhoppers and other auchenorrhyncha on coffee and citrus in Puerto Rico","10.1093/ee/nvx086"
"27","WOS027","Lawton, Rebecca J.; Paul, Nicholas A.; Marshall, Dustin J.; Monro, Keyne","Journal of Applied Phycology",2017,"29","3","1449--1459","Limited evolutionary responses to harvesting regime in the intensive production of algae","10.1007/s10811-016-1044-8"
"28","WOS028","Bracken, Matthew E. S.; Douglass, James G.; Perini, Valerie; Trussell, Geoffrey C.","Ecology",2017,"98","5","1434--1443","Spatial scale mediates the effects of biodiversity on marine primary producers","10.1002/ecy.1812"
"29","WOS029","Cook-Patton, Susan C.; Hastings, Amy P.; Agrawal, Anurag A.","Journal of Ecology",2017,"105","3","726--735","Genotypic diversity mitigates negative effects of density on plant performance: a field experiment and life cycle analysis of common evening primrose Oenothera biennis","10.1111/1365-2745.12717"
"30","WOS030","Whalen, Matthew A.; Stachowicz, John J.","Marine Ecology Progress Series",2017,"570",NA,"1--13","Suspension feeder diversity enhances community filtration rates in different flow environments","10.3354/meps12133"
"31","WOS031","Byun, Chaeho; Lee, Eun Ju","Ecology and Evolution",2017,"7","7","2181--2192","Ecological application of biotic resistance to control the invasion of an invasive plant, Ageratina altissima","10.1002/ece3.2799"
"32","WOS032","Nath, Adi; Tiwari, Pravin K.; Rai, Awadhesh K.; Sundaram, Shanthy","Physiology and Molecular Biology of Plants",2017,"23","2","269--280","Microalgal consortia differentially modulate progressive adsorption of hexavalent chromium","10.1007/s12298-017-0415-1"
"33","WOS033","Niklaus, Pascal A.; Baruffol, Martin; He, Jin-Sheng; Ma, Keping; Schmid, Bernhard","Ecology",2017,"98","4","1104--1116","Can niche plasticity promote biodiversity-productivity relationships through increased complementarity?","10.1002/ecy.1748"
"34","WOS034","Wolf, Amelia A.; Zavaleta, Erika S.; Selmants, Paul C.","Proceedings of the National Academy of Sciences",2017,"114","13","3463--3468","Flowering phenology shifts in response to biodiversity loss","10.1073/pnas.1608357114"
"35","WOS035","Vermeulen, Peter J.; van Ruijven, Jasper; Anten, Niels P. R.; van der Werf, Wopke","Journal of Ecology",2017,"105","2","345--353","An evolutionary game theoretical model shows the limitations of the additive partitioning method for interpreting biodiversity experiments","10.1111/1365-2745.12706"
"36","WOS036","Muiruri, Evalyne W.; Koricheva, Julia","Oikos",2017,"126","3","339--349","Going undercover: increasing canopy cover around a host tree drives associational resistance to an insect pest","10.1111/oik.03307"
"37","WOS037","Hoeber, Stefanie; Fransson, Petra; Prieto-Ruiz, Inés; Manzoni, Stefano; Weih, Martin","Frontiers in Plant Science",2017,"8","231",NA,"Two Salix Genotypes Differ in Productivity and Nitrogen Economy When Grown in Monoculture and Mixture","10.3389/fpls.2017.00231"
"38","WOS038","El Moujahid, Lamiae; Le Roux, Xavier; Michalet, Serge; Bellvert, Florian; Weigelt, Alexandra; Poly, Franck","PLoS ONE",2017,"12","2","e0170494","Effect of plant diversity on the diversity of soil organic compounds","10.1371/journal.pone.0170494"
"39","WOS039","Schmid, Bernhard; Baruffol, Martin; Wang, Zhiheng; Niklaus, Pascal A.","Journal of Plant Ecology",2017,"10","1","91--110","A guide to analyzing biodiversity experiments","10.1093/jpe/rtw107"
"40","WOS040","Sun, Zhenkai; Liu, Xiaojuan; Schmid, Bernhard; Bruelheide, Helge; Bu, Wensheng; Ma, Keping","Journal of Plant Ecology",2017,"10","1","146--157","Positive effects of tree species richness on fine-root production in a subtropical forest in SE-China","10.1093/jpe/rtw094"
"41","WOS041","Van De Velde, Helena; Nijs, Ivan; Bonte, Dries","Oikos",2017,"126","2","285--295","Warming affects different components of plant-herbivore interaction in a simplified community but not net interaction strength","10.1111/oik.03415"
"42","WOS042","Fu, Hongdan; Zhang, Guoxian; Zhang, Fan; Sun, Zhouping; Geng, Guoming; Li, Tianlai","Sustainability",2017,"9","2","317","Effects of Continuous Tomato Monoculture on Soil Microbial Properties and Enzyme Activities in a Solar Greenhouse","10.3390/su9020317"
"43","WOS043","Chamagne, Juliette; Tanadini, Matteo; Frank, David; Matula, Radim; Paine, C. E. Timothy; Philipson, Christopher D.; Svátek, Martin; Turnbull, Lindsay A.; Volarík, Daniel; Hector, Andy","Journal of Applied Ecology",2017,"54","1","71--79","Forest diversity promotes individual tree growth in central European forest stands","10.1111/1365-2664.12783"
"44","WOS044","Fischer, Dylan G.; Wimp, Gina M.; Hersch-Green, Erika; Bangert, Randy K.; LeRoy, Carri J.; Bailey, Joseph K.; Schweitzer, Jennifer A.; Dirks, Clarissa; Hart, Stephen C.; Allan, Gerard J.; Whitham, Thomas G.","Functional Ecology",2017,"31","2","520--529","Tree genetics strongly affect forest productivity, but intraspecific diversity-productivity relationships do not","10.1111/1365-2435.12733"
"45","WOS045","Ramirez-Collio, Karla; Vergara, Pablo M.; Simonetti, Javier A.","Forest Ecology and Management",2017,"384",NA,"279--286","Converting clear cutting into a less hostile habitat: The importance of understory for the abundance and movement of the Chestnut-throated Huet-Huet ( Pteroptochos castaneus : Rhinocryptidae)","10.1016/j.foreco.2016.11.005"
"46","WOS046","Setiawan, Nuri Nurlaila; Vanhellemont, Margot; Baeten, Lander; Van de Peer, Thomas; Ampoorter, Evy; Ponette, Quentin; Verheyen, Kris","Forest Ecology and Management",2017,"384",NA,"424--443","Local neighbourhood effects on sapling growth in a young experimental forest","10.1016/j.foreco.2016.10.012"
"47","WOS047","Russo, David A.; Beckerman, Andrew P.; Pandhal, Jagroop","AMB Express",2017,"7","1","10","Competitive growth experiments with a high-lipid Chlamydomonas reinhardtii mutant strain and its wild-type to predict industrial and ecological risks","10.1186/s13568-016-0305-x"
"48","WOS048","Wright, Alexandra J.; de Kroon, Hans; Visser, Eric J. W.; Buchmann, Tina; Ebeling, Anne; Eisenhauer, Nico; Fischer, Christine; Hildebrandt, Anke; Ravenek, Janneke; Roscher, Christiane; Weigelt, Alexandra; Weisser, Wolfgang; Voesenek, Laurentius A. C. J.; Mommer, Liesje","New Phytologist",2017,"213","2","645--656","Plants are less negatively affected by flooding when growing in species-rich plant communities","10.1111/nph.14185"
"49","WOS049","Hatt, Séverin; Lopes, Thomas; Boeraeve, Fanny; Chen, Julian; Francis, Frédéric","Ecological Engineering",2017,"98",NA,"240--245","Pest regulation and support of natural enemies in agriculture: Experimental evidence of within field wildflower strips","10.1016/j.ecoleng.2016.10.080"
"50","WOS050","Wein, Annika; Bauhus, Jürgen; Bilodeau-Gauthier, Simon; Scherer-Lorenzen, Michael; Nock, Charles; Staab, Michael","PLoS ONE",2016,"11","12","e0168751","Tree Species Richness Promotes Invertebrate Herbivory on Congeneric Native and Exotic Tree Saplings in a Young Diversity Experiment","10.1371/journal.pone.0168751"
"51","WOS051","Tuck, Sean L.; O'Brien, Michael J.; Philipson, Christopher D.; Saner, Philippe; Tanadini, Matteo; Dzulkifli, Dzaeman; Godfray, H. Charles J.; Godoong, Elia; Nilus, Reuben; Ong, Robert C.; Schmid, Bernhard; Sinun, Waidi; Snaddon, Jake L.; Snoep, Martijn; Tangki, Hamzah; Tay, John; Ulok, Philip; Wai, Yap Sau; Weilenmann, Maja; Reynolds, Glen; Hector, Andy","Proceedings of the Royal Society B: Biological Sciences",2016,"283","1844","20161451","The value of biodiversity for the functioning of tropical forests: insurance effects during the first decade of the Sabah biodiversity experiment","10.1098/rspb.2016.1451"
"52","WOS052","Narwani, Anita; Lashaway, Aubrey R.; Hietala, David C.; Savage, Phillip E.; Cardinale, Bradley J.","Environmental Science & Technology",2016,"50","23","13142--13150","Power of Plankton: Effects of Algal Biodiversity on Biocrude Production and Stability","10.1021/acs.est.6b03256"
