Block,Plot,Genotypic diversity,Trait diversity,Trt ID,Number high trait transplants,Initial CV height,Initial avg ht,Initial density,June CV height,Rep ,Oct stem density,Oct longest diameter,Oct Area,Oct Percent cover,Oct height 1,Oct height 2,Oct height 3,Oct height 4,Oct height 5,Oct height 6,Oct Avg. Height,Oct CV height,Oct Aboveground mass per stem,Oct Belowground mass per stem,Oct Tidal height,Oct Salinity,Oct Redox,Oct Temp,Oct Subsurface SOM,Oct Surface SOM,Oct Melongena abundance,Oct Terebra abundance,Oct Littoraria abundance,Oct. species richness,Oct species abundance,Oct fish abundance,Oct infaunal abundance
1,1,1,Low,M8,0,0.054,19.28,35,0.508300374,2,151,155,16275,78.26,39,30,36,43,49,30,37.83,0.197,0.221428571,0.347142857,19,33,364.9,24.4,0.659,0.752,0,0,0,3,2,0,9
1,2,3,High,LP12,4,0.496,21.85,30,0.551096599,0,33,65,2925,25.19,33,38,40,31,19,32,32.17,0.229,0.27,1.99,20,35,303.6,24.5,0.468,0.569,0,1,0,3,2,0,34
1,3,6,Low,HP3,3,0.262,17.5,35,0.516214365,0,88,120,12000,51.43,30,26,34,50,39,17,32.67,0.346,0.941666667,0.706666667,20.5,33,347.1,24.7,0.692,0.755,0,1,0,3,2,3,13
1,4,1,High,M2,6,0.234,16.97,32,0.531146805,0,36,125,8750,33.33,29,15,24,29,34,29,26.67,0.245,0.95,0.93,19.5,33,384.7,24.7,0.628,0.752,0,0,0,0,0,0,22
1,5,6,High,HP9,4,0.481,20.82,37,0.546251491,3,76,115,12075,47.06,23,37,36,27,36,29,31.33,0.186,0.51,2.15,19.5,33,366.6,24.9,0.606,0.524,1,0,0,4,3,0,41
1,6,3,Low,LP2,6,0.286,25.08,33,0.555126075,2,69,125,8750,51.85,59,47,26,39,49,23,40.5,0.345,0.4825,1.29,19,34,361.4,25.1,0.527,0.703,1,2,0,3,4,4,47
1,7,6,High,HP10,3,0.35,18.38,26,0.559059899,0,36,90,5400,43.28,52,50,11,30,38,29,35,0.435,0.19,0.503333333,20,30,361.1,25.3,1.171,0.777,0,0,0,0,0,2,36
1,8,6,High,HP5,3,0.488,18,25,0.533245615,0,25,70,3850,14.71,23,32,35,37,23,28,29.67,0.202,0.495,0.725,20,31,363.8,26,0.648,0.682,0,0,0,0,0,5,37
1,9,1,High,M9,6,0.145,20.65,27,0.528929415,0,55,155,15500,47.06,42,29,52,27,36,21,34.5,0.326,0.6,1.35,21,31,356.2,26.4,0.68,0.703,0,2,0,3,3,0,36
1,10,3,Low,LP5,0,0.321,23.2,38,0.527348509,1,49,145,10150,45.45,52,26,36,37,48,22,36.83,0.32,0.27,0.43,20,32,364.6,26.5,0.528,0.756,0,3,0,2,3,2,52
1,11,1,Low,M3,0,0.179,21.25,25,0.547423863,0,21,60,1800,19.55,12,13,17,41,40,45,28,0.554,0.47,0.615,20,32,119.9,27.4,1.042,0.877,1,0,0,1,1,0,32
1,12,3,High,LP8,0,0.406,18.74,28,0.512110245,1,48,140,17500,46.38,23,11,35,22,39,48,29.67,0.453,0.49,0.45,20,31,376.6,26.1,0.597,0.746,2,2,0,4,6,0,42
2,1,1,High,M11,6,0.264,,0,0.504857695,1,108,155,17825,67.69,19,45,35,39,48,19,34.17,0.369,0.243333333,0.523333333,16,33,NA,NA,0.521,0.844,1,0,0,1,1,4,22
2,2,6,Low,HP7,2,0.098,22.61,17,0.528177723,0,56,90,7650,43.94,38,25,38,34,19,31,30.83,0.246,0.28,0.6325,16,32,NA,NA,0.596,0.752,0,0,0,1,1,0,20
2,3,3,High,LP6,4,0.392,25.74,32,0.52591716,3,80,155,14725,46.27,34,35,27,32,50,41,36.5,0.22,0.36,0.37,17.5,33,NA,NA,0.511,0.602,1,0,0,2,2,0,21
2,4,1,Low,M12,0,0.305,22.72,31,0.542906437,0,15,70,3150,10.45,30,15,45,43,32,26,31.83,0.349,NA,NA,16.5,34,NA,NA,0.583,0.802,0,0,0,0,0,0,27
2,5,6,Low,HP6,3,0.174,22.02,27,0.389249472,0,2,NA,NA,4.41,33,13,NA,NA,NA,NA,23,0.615,NA,NA,17,33,NA,NA,0.6,0.7,0,0,0,0,0,0,30
2,6,3,High,LP10,2,0.245,23.37,28,0.563173912,1,17,60,1500,14.93,30,40,25,24,40,16,29.17,0.326,0.27,0.59,16,34,NA,NA,0.555,0.787,1,0,0,1,1,0,23
2,7,6,High,HP4,3,0.269,23.88,26,0.54471922,1,47,140,7000,37.96,39,38,26,43,39,38,37.17,0.155,0.31,0.725,19,35,NA,NA,0.555,0.651,0,0,0,1,0,1,42
2,8,1,High,M1,6,0.365,21.39,30,0.533188031,2,59,140,9800,43.28,63,56,61,44,42,28,49,0.274,0.87,1.73,19,38,NA,NA,0.618,0.744,0,0,0,1,0,1,38
2,9,3,Low,LP3,4,0.261,25.97,26,0.519507816,0,67,150,12750,52.31,37,26,49,36,48,29,37.5,0.253,0.285,0.115,19,34,NA,NA,0.574,0.92,0,0,0,0,0,2,46
2,10,1,Low,M7,0,0.155,26.8,28,0.510304944,1,73,100,8000,31.34,37,33,50,46,40,39,40.83,0.151,0.525,0.255,18,34,NA,NA,0.635,0.572,0,0,0,2,1,0,39
2,11,6,Low,HP12,3,0.257,24.05,34,0.523380143,0,40,145,8700,28.15,34,40,26,27,31,29,31.17,0.167,NA,NA,18,34,NA,NA,0.539,0.789,1,0,0,1,1,0,59
2,12,3,Low,LP9,2,0.165,21.02,31,0.523013521,3,60,160,22400,54.41,50,45,34,45,33,33,40,0.188,0.43,0.44,19,34,NA,NA,0.598,0.809,0,0,0,1,0,1,41
3,1,6,Low,HP11,2,0.225,19.72,29,0.531192443,1,32,120,12000,31.82,37,47,14,36,45,17,32.67,0.429,0.53,0.49,18.5,37,NA,NA,0.612,0.97,1,0,0,2,1,0,17
3,2,1,Low,M4,0,0.047,26.3,31,0.446029835,0,17,20,300,9.09,32,37,30,44,35,39,36.17,0.139,0.06,1.01,18,33,NA,NA,0.568,0.632,0,0,0,0,0,0,29
3,3,1,High,M6,6,0.329,19.05,28,0.502502242,0,31,80,3200,18.46,33,33,30,35,37,20,31.33,0.192,0.07,0.34,18,32,NA,NA,2.966,0.776,0,0,0,0,0,0,27
3,4,3,High,LP7,6,0.266,21.8,27,0.545386497,0,49,80,4000,26.56,27,39,29,22,40,26,30.5,0.241,NA,NA,16,32,NA,NA,0.61,0.74,0,0,0,0,0,0,25
3,5,3,Low,LP1,0,0.189,18.99,26,0.5333172,0,40,100,9000,29.85,39,48,19,40,47,16,34.83,0.4,0.325,0.685,17,32,NA,NA,0.473,0.678,0,0,0,1,0,0,26
3,6,6,Low,HP1,2,0.146,18.09,33,0.528255522,0,35,90,5400,27.94,40,30,35,20,24,13,27,0.369,0.07,0.71,17,33,NA,NA,0.699,0.832,2,0,0,3,3,0,20
