"Cibola Survey, 2012",,,,,diamater at 30 cm (cm),
Block,Survey Date,Individual Genotype,Treatment,Number of Genotypes,Trunk 1 diameter (cm),trunk 2 diameter (cm)
1,41028,HP,HP,1,23,26.5
1,41028,CNWR,CNWR,1,31.5,
1,41028,OR,OR,1,18,
1,41028,HNWR,16,16,25,
1,41028,FC,FC,1,16,
1,41028,CW,CW,1,26.2,
1,41028,CW,CW,1,25,
1,41028,OV,OV,1,10.5,
1,41028,FC,FC,1,36.8,
1,41028,FC,FC,1,28.5,
1,41028,CW,CW,1,28,
1,41028,OV,OV,1,13.9,
1,41028,FC,FC,1,27.3,
1,41028,FC,FC,1,27.4,
1,41028,CW,CW,1,23.9,
1,41028,FC,FC,1,30.4,
1,41028,FC,FC,1,33.7,
1,41028,FC,FC,1,31.4,
1,41028,CW,CW,1,24.5,
1,41028,CW,CW,1,27,
1,41028,SP,SP,1,24.5,
1,41028,SP,SP,1,23.9,
1,41028,MC,MC,1,15,
1,41028,MC,MC,1,17.8,
1,41028,MC,8,8,22.3,
1,41028,SP,SP,1,31,
1,41028,MC,MC,1,17.1,
1,41028,HNWR,2,2,34.9,
1,41028,HNWR,2,2,30.7,
1,41028,SP,SP,1,27.9,
1,41028,SP,SP,1,24.7,
1,41028,MC,MC,1,5.1,
1,41028,MC,MC,1,20,
1,41028,MC,MC,1,20,
1,41028,MC,8,8,25.4,
1,41028,MC,MC,1,18.3,
1,41028,BD,BD,1,21.4,
1,41028,BD,BD,1,22,
1,41028,NCC,NCC,1,19.5,
1,41028,NCC,NCC,1,13.8,
1,41028,PNWR,PNWR,1,29.3,
1,41028,NCC,NCC,1,11.3,
1,41028,GR,GR,1,33.5,
1,41028,GR,GR,1,26,
1,41028,BD,BD,1,19,
1,41028,BD,BD,1,18.2,
1,41028,NCC,NCC,1,13.1,
1,41028,NCC,NCC,1,13.8,
1,41028,GR,GR,1,26.3,
1,41028,BD,BD,1,11.6,15
1,41028,BD,BD,1,20.6,
1,41028,BD,BD,1,20.8,
1,41028,CNWR,4,4,24.5,
1,41028,CNWR,4,4,25.7,
1,41028,FR,FR,1,15.2,
1,41028,FR,4,4,14.5,
1,41028,HNWR,HNWR,1,25.8,
1,41028,HNWR,HNWR,1,34,
1,41028,NCC,4,4,19.4,
1,41028,FR,FR,1,12.4,
1,41028,HNWR,HNWR,1,31.9,
1,41028,B161,B161,1,18,
1,41028,FC,4,4,27.1,
1,41028,CNWR,4,4,28,
1,41028,NCC,4,4,8.2,
1,41028,FR,FR,1,14.2,
1,41028,HNWR,HNWR,1,28,
1,41028,HNWR,HNWR,1,23.5,
1,41028,HNWR,HNWR,1,28,
2,41028,HNWR,HNWR,1,42.4,
2,41028,HNWR,HNWR,1,34.4,
2,41028,HNWR,HNWR,1,32.1,
2,41028,OR,OR,1,15.4,
2,41028,MC,MC,1,19.3,
2,41028,OR,OR,1,15.3,
2,41028,SP,16,16,25.1,
2,41028,HNWR,HNWR,1,35.1,
2,41028,HP,HP,1,42.3,
2,41028,NCC,NCC,1,10.1,
2,41028,HP,HP,1,32.1,
2,41028,PNWR,PNWR,1,30.5,
2,41028,NCC,NCC,1,11.2,
2,41028,NCC,NCC,1,14,
2,41028,HP,HP,1,26.3,
2,41028,HP,HP,1,23.5,
2,41028,HP,HP,1,29.1,
2,41028,NCC,NCC,1,13.9,
2,41028,HP,HP,1,28.5,
2,41028,HP,HP,1,16,27.4
2,41028,HP,HP,1,30.7,
2,41028,NCC,NCC,1,11.3,
2,41028,OR,2,2,14.3,
2,41028,OR,2,2,7.5,
2,41028,GR,2,2,23.2,
2,41028,CNWR,CNWR,1,33.7,
