plot	location	block	composition	species.richness	functional.richness	legumes	height3	light3	gravity3
B1P001	1	1	5	1	1	No	50.9	NA	42.14921691
B1P002	1	1	29	16	3	Yes	74.2	NA	49.08174762
B1P003	1	1	15	2	2	No	61.55	NA	35.90252454
B1P004	1	1	7	1	1	Yes	24.4	NA	20.2254509
B1P005	1	1	16	2	2	No	23.95	NA	15.5754066
B1P006	1	1	8	1	1	No	45.3	NA	34.22160574
B1P007	1	1	4	1	1	No	25.5	NA	24.36198547
B1P008	1	1	13	2	2	Yes	72.4	NA	55.76714801
B1P009	1	1	26	8	3	Yes	69.1	NA	48.21078747
B1P010	1	1	18	4	1	No	66.95	NA	29.84276066
B1P011	1	1	30	16	3	Yes	79.95	NA	43.43248144
B1P013	1	1	20	4	2	No	55.15	NA	32.60902256
B1P014	1	1	17	2	2	No	41.75	NA	28.87155298
B1P015	1	1	24	8	2	Yes	61.4	NA	44.47913323
B1P016	1	1	23	8	1	No	67.55	NA	26.38409371
B1P017	1	1	22	4	3	Yes	33	NA	32.26864967
B1P018	1	1	6	1	1	Yes	42.2	NA	30.4798702
B1P019	1	1	11	2	1	No	60.95	NA	29.51584057
B1P020	1	1	10	1	1	No	47.95	NA	26.14048338
B1P021	1	1	3	1	1	No	70	NA	20.02780352
B1P022	1	1	25	8	2	No	44.1	NA	27.83011758
B1P023	1	1	21	4	3	Yes	65.95	NA	33.84072185
B1P024	1	1	9	1	1	No	19.25	NA	17.48069498
B1P025	1	1	14	2	2	Yes	40.55	NA	51.7238806
B1P026	1	1	27	8	3	Yes	61.2	NA	38.68479423
B1P027	1	1	12	2	1	No	43.05	NA	33.1421552
B1P028	1	1	28	16	3	Yes	68.3	NA	55.90728769
B1P030	1	1	1	1	1	No	63.85	NA	26.69230769
B1P031	1	1	19	4	2	Yes	60.85	NA	44.46423227
B1P032	1	1	2	1	1	No	85.35	NA	33.6300738
B1P033	1	2	7	1	1	Yes	29	NA	16.26818623
B1P034	1	2	13	2	2	Yes	79.25	NA	54.85145172
B1P035	1	2	15	2	2	No	56.3	NA	33.28580222
B1P036	1	2	22	4	3	Yes	68.9	NA	35.40018515
B1P037	1	2	27	8	3	Yes	73.7	NA	45.95281158
B1P038	1	2	30	16	3	Yes	65.8	NA	46.74951367
B1P039	1	2	1	1	1	No	63.7	NA	32.25438596
B1P040	1	2	20	4	2	No	54.5	NA	31.93830571
B1P042	1	2	2	1	1	No	69.28	NA	34.8699115
B1P043	1	2	9	1	1	No	22.85	NA	15.52047782
B1P044	1	2	25	8	2	No	58.5	NA	25.99708738
B1P045	1	2	23	8	1	No	68.35	NA	30.44160372
B1P046	1	2	11	2	1	No	69.5	NA	30.55020007
B1P047	1	2	8	1	1	No	40.85	NA	32.35411141
B1P048	1	2	6	1	1	Yes	61.85	NA	32.64097586
B1P049	1	2	16	2	2	No	28.1	NA	16.16028708
B1P050	1	2	18	4	1	No	69.65	NA	30.53240741
B1P051	1	2	28	16	3	Yes	63.8	NA	52.80847973
B1P052	1	2	4	1	1	No	30.3	NA	24.73684211
B1P053	1	2	10	1	1	No	49.6	NA	23.6938326
B1P054	1	2	12	2	1	No	41.3	NA	35.76125331
B1P055	1	2	21	4	3	Yes	71.95	NA	41.18915457
B1P056	1	2	29	16	3	Yes	80.4	NA	45.74826717
B1P057	1	2	19	4	2	Yes	60	NA	46.04130993
B1P058	1	2	3	1	1	No	69.95	NA	18.16335476
B1P059	1	2	24	8	2	Yes	75.25	NA	58.22263296
B1P060	1	2	14	2	2	Yes	64.25	NA	39.44117647
B1P062	1	2	17	2	2	No	51.5	NA	27.38027366
B1P063	1	2	5	1	1	No	60.9	NA	40.37951467
B1P064	1	2	26	8	3	Yes	73.15	NA	49.57157846
C2P001	2	1	38	1	1	No	NA	NA	3.165324867
C2P002	2	1	5	1	1	No	NA	NA	4.749001585
C2P003	2	1	51	4	3	Yes	NA	NA	3.327309296
C2P004	2	1	45	2	2	No	NA	NA	13.06945279
C2P005	2	1	39	1	1	No	NA	NA	16.86185607
C2P006	2	1	52	8	3	Yes	NA	NA	7.618143464
C2P007	2	1	9	1	1	No	NA	NA	3.142110243
C2P008	2	1	3	1	1	No	NA	NA	5.351387054
C2P009	2	1	49	4	3	Yes	NA	NA	13.9787671
C2P010	2	1	40	1	1	No	NA	NA	0
C2P012	2	1	37	1	1	No	NA	NA	0
C2P013	2	1	37	1	1	No	NA	NA	0
C2P014	2	1	36	1	1	Yes	NA	NA	0
C2P015	2	1	33	1	1	No	NA	NA	5.734694946
C2P016	2	1	33	1	1	No	NA	NA	5.549630963
C2P017	2	1	34	1	1	Yes	NA	NA	0
C2P018	2	1	3	1	1	No	NA	NA	7.757261021
C2P019	2	1	32	1	1	No	NA	NA	15.62188366
