plot	location	block	composition	species.richness	functional.richness	legumes	layer.top	layer.bottom	layer.thickness	midpoint	biomass	density
B1P030	1	1	1	1	1	No	20	5	0.15	12.5	103.9	692.67
B1P030	1	1	1	1	1	No	35	20	0.15	27.5	70.5	470
B1P030	1	1	1	1	1	No	50	35	0.15	42.5	27	180
B1P030	1	1	1	1	1	No	65	50	0.15	57.5	8.2	54.67
B1P030	1	1	1	1	1	No	80	65	0.15	72.5	3.5	23.33
B1P030	1	1	1	1	1	No	95	80	0.15	87.5	3.5	23.33
B1P030	1	1	1	1	1	No	110	95	0.15	102.5	3.3	22
B1P030	1	1	1	1	1	No	125	110	0.15	117.5	0.5	3.33
B1P030	1	1	1	1	1	No	140	125	0.15	132.5	0.2	1.33
B1P030	1	1	1	1	1	No	155	140	0.15	147.5	0.4	2.67
B1P032	1	1	2	1	1	No	20	5	0.15	12.5	104.1	694
B1P032	1	1	2	1	1	No	35	20	0.15	27.5	83.5	556.67
B1P032	1	1	2	1	1	No	50	35	0.15	42.5	69.2	461.33
B1P032	1	1	2	1	1	No	65	50	0.15	57.5	46.6	310.67
B1P032	1	1	2	1	1	No	80	65	0.15	72.5	15.9	106
B1P032	1	1	2	1	1	No	95	80	0.15	87.5	2.6	17.33
B1P032	1	1	2	1	1	No	110	95	0.15	102.5	3.3	22
B1P021	1	1	3	1	1	No	20	5	0.15	12.5	139.6	930.67
B1P021	1	1	3	1	1	No	35	20	0.15	27.5	59.4	396
B1P021	1	1	3	1	1	No	50	35	0.15	42.5	11.9	79.33
B1P021	1	1	3	1	1	No	65	50	0.15	57.5	0.6	4
B1P021	1	1	3	1	1	No	80	65	0.15	72.5	0.9	6
B1P021	1	1	3	1	1	No	95	80	0.15	87.5	0.7	4.67
B1P021	1	1	3	1	1	No	110	95	0.15	102.5	2.7	18
B1P007	1	1	4	1	1	No	20	5	0.15	12.5	131.6	877.33
B1P007	1	1	4	1	1	No	35	20	0.15	27.5	26.2	174.67
B1P007	1	1	4	1	1	No	50	35	0.15	42.5	14.3	95.33
B1P007	1	1	4	1	1	No	65	50	0.15	57.5	29.1	194
B1P007	1	1	4	1	1	No	80	65	0.15	72.5	5.3	35.33
B1P001	1	1	5	1	1	No	20	5	0.15	12.5	120.3	802
B1P001	1	1	5	1	1	No	35	20	0.15	27.5	94.1	627.33
B1P001	1	1	5	1	1	No	50	35	0.15	42.5	77.7	518
B1P001	1	1	5	1	1	No	65	50	0.15	57.5	66	440
B1P001	1	1	5	1	1	No	80	65	0.15	72.5	66.2	441.33
B1P001	1	1	5	1	1	No	95	80	0.15	87.5	41.8	278.67
B1P018	1	1	6	1	1	Yes	20	5	0.15	12.5	308.4	2056
B1P018	1	1	6	1	1	Yes	35	20	0.15	27.5	240.7	1604.67
B1P018	1	1	6	1	1	Yes	50	35	0.15	42.5	231	1540
B1P018	1	1	6	1	1	Yes	65	50	0.15	57.5	129	860
B1P004	1	1	7	1	1	Yes	20	5	0.15	12.5	193.6	1290.67
B1P004	1	1	7	1	1	Yes	35	20	0.15	27.5	205.6	1370.67
B1P006	1	1	8	1	1	No	20	5	0.15	12.5	80.2	534.67
B1P006	1	1	8	1	1	No	35	20	0.15	27.5	80.3	535.33
B1P006	1	1	8	1	1	No	50	35	0.15	42.5	93.9	626
B1P006	1	1	8	1	1	No	65	50	0.15	57.5	32.4	216
B1P006	1	1	8	1	1	No	80	65	0.15	72.5	19.6	130.67
B1P024	1	1	9	1	1	No	20	5	0.15	12.5	149.2	994.67
B1P024	1	1	9	1	1	No	35	20	0.15	27.5	11.6	77.33
B1P024	1	1	9	1	1	No	50	35	0.15	42.5	12.9	86
B1P024	1	1	9	1	1	No	65	50	0.15	57.5	7.6	50.67
B1P020	1	1	10	1	1	No	20	5	0.15	12.5	90.6	604
B1P020	1	1	10	1	1	No	35	20	0.15	27.5	55.2	368
B1P020	1	1	10	1	1	No	50	35	0.15	42.5	33	220
B1P020	1	1	10	1	1	No	65	50	0.15	57.5	19.8	132
B1P019	1	1	11	2	1	No	20	5	0.15	12.5	71.1	474
B1P019	1	1	11	2	1	No	35	20	0.15	27.5	61.8	412
B1P019	1	1	11	2	1	No	50	35	0.15	42.5	40.3	268.67
B1P019	1	1	11	2	1	No	65	50	0.15	57.5	15.4	102.67
B1P019	1	1	11	2	1	No	80	65	0.15	72.5	4.1	27.33
B1P019	1	1	11	2	1	No	95	80	0.15	87.5	1	6.67
B1P019	1	1	11	2	1	No	110	95	0.15	102.5	2	13.33
B1P027	1	1	12	2	1	No	20	5	0.15	12.5	117.9	786
B1P027	1	1	12	2	1	No	35	20	0.15	27.5	59.4	396
B1P027	1	1	12	2	1	No	50	35	0.15	42.5	40.5	270
B1P027	1	1	12	2	1	No	65	50	0.15	57.5	49.5	330
B1P027	1	1	12	2	1	No	80	65	0.15	72.5	21.8	145.33
B1P027	1	1	12	2	1	No	95	80	0.15	87.5	6	40
B1P008	1	1	13	2	2	Yes	20	5	0.15	12.5	140.5	936.67
B1P008	1	1	13	2	2	Yes	35	20	0.15	27.5	115.5	770
B1P008	1	1	13	2	2	Yes	50	35	0.15	42.5	78	520
B1P008	1	1	13	2	2	Yes	65	50	0.15	57.5	64.2	428
B1P008	1	1	13	2	2	Yes	80	65	0.15	72.5	45.3	302
