plot	location	block	composition	species.richness	functional.richness	grasses	legumes	forbs
B1P001	Germany	1	5	1	1	Yes	No	No
B1P002	Germany	1	29	16	3	Yes	Yes	Yes
B1P003	Germany	1	15	2	2	Yes	No	Yes
B1P004	Germany	1	7	1	1	No	Yes	No
B1P005	Germany	1	16	2	2	Yes	No	Yes
B1P006	Germany	1	8	1	1	No	No	Yes
B1P007	Germany	1	4	1	1	Yes	No	No
B1P008	Germany	1	13	2	2	Yes	Yes	No
B1P009	Germany	1	26	8	3	Yes	Yes	Yes
B1P010	Germany	1	18	4	1	Yes	No	No
B1P011	Germany	1	30	16	3	Yes	Yes	Yes
B1P013	Germany	1	20	4	2	Yes	No	Yes
B1P014	Germany	1	17	2	2	Yes	No	Yes
B1P015	Germany	1	24	8	2	Yes	Yes	No
B1P016	Germany	1	23	8	1	Yes	No	No
B1P017	Germany	1	22	4	3	Yes	Yes	Yes
B1P018	Germany	1	6	1	1	No	Yes	No
B1P019	Germany	1	11	2	1	Yes	No	No
B1P020	Germany	1	10	1	1	No	No	Yes
B1P021	Germany	1	3	1	1	Yes	No	No
B1P022	Germany	1	25	8	2	Yes	No	Yes
B1P023	Germany	1	21	4	3	Yes	Yes	Yes
B1P024	Germany	1	9	1	1	No	No	Yes
B1P025	Germany	1	14	2	2	Yes	Yes	No
B1P026	Germany	1	27	8	3	Yes	Yes	Yes
B1P027	Germany	1	12	2	1	Yes	No	No
B1P028	Germany	1	28	16	3	Yes	Yes	Yes
B1P030	Germany	1	1	1	1	Yes	No	No
B1P031	Germany	1	19	4	2	Yes	Yes	No
B1P032	Germany	1	2	1	1	Yes	No	No
B1P033	Germany	2	7	1	1	No	Yes	No
B1P034	Germany	2	13	2	2	Yes	Yes	No
B1P035	Germany	2	15	2	2	Yes	No	Yes
B1P036	Germany	2	22	4	3	Yes	Yes	Yes
B1P037	Germany	2	27	8	3	Yes	Yes	Yes
B1P038	Germany	2	30	16	3	Yes	Yes	Yes
B1P039	Germany	2	1	1	1	Yes	No	No
B1P040	Germany	2	20	4	2	Yes	No	Yes
B1P042	Germany	2	2	1	1	Yes	No	No
B1P043	Germany	2	9	1	1	No	No	Yes
B1P044	Germany	2	25	8	2	Yes	No	Yes
B1P045	Germany	2	23	8	1	Yes	No	No
B1P046	Germany	2	11	2	1	Yes	No	No
B1P047	Germany	2	8	1	1	No	No	Yes
B1P048	Germany	2	6	1	1	No	Yes	No
B1P049	Germany	2	16	2	2	Yes	No	Yes
B1P050	Germany	2	18	4	1	Yes	No	No
B1P051	Germany	2	28	16	3	Yes	Yes	Yes
B1P052	Germany	2	4	1	1	Yes	No	No
B1P053	Germany	2	10	1	1	No	No	Yes
B1P054	Germany	2	12	2	1	Yes	No	No
B1P055	Germany	2	21	4	3	Yes	Yes	Yes
B1P056	Germany	2	29	16	3	Yes	Yes	Yes
B1P057	Germany	2	19	4	2	Yes	Yes	No
B1P058	Germany	2	3	1	1	Yes	No	No
B1P059	Germany	2	24	8	2	Yes	Yes	No
B1P060	Germany	2	14	2	2	Yes	Yes	No
B1P062	Germany	2	17	2	2	Yes	No	Yes
B1P063	Germany	2	5	1	1	Yes	No	No
B1P064	Germany	2	26	8	3	Yes	Yes	Yes
C2P001	Portugal	1	38	1	1	No	No	Yes
C2P002	Portugal	1	5	1	1	Yes	No	No
C2P003	Portugal	1	51	4	3	Yes	Yes	Yes
C2P004	Portugal	1	45	2	2	Yes	No	Yes
C2P005	Portugal	1	39	1	1	No	No	Yes
C2P006	Portugal	1	52	8	3	Yes	Yes	Yes
C2P007	Portugal	1	9	1	1	No	No	Yes
C2P008	Portugal	1	3	1	1	Yes	No	No
C2P009	Portugal	1	49	4	3	Yes	Yes	Yes
C2P010	Portugal	1	40	1	1	No	No	Yes
C2P012	Portugal	1	37	1	1	No	No	Yes
C2P013	Portugal	1	37	1	1	No	No	Yes
C2P014	Portugal	1	36	1	1	No	Yes	No
C2P015	Portugal	1	33	1	1	Yes	No	No
C2P016	Portugal	1	33	1	1	Yes	No	No
C2P017	Portugal	1	34	1	1	No	Yes	No
C2P018	Portugal	1	3	1	1	Yes	No	No
C2P019	Portugal	1	32	1	1	Yes	No	No
C2P020	Portugal	1	49	4	3	Yes	Yes	Yes
C2P021	Portugal	1	39	1	1	No	No	Yes
C2P024	Portugal	1	45	2	2	Yes	No	Yes
C2P025	Portugal	1	34	1	1	No	Yes	No
C2P026	Portugal	1	54	14	3	Yes	Yes	Yes
C2P027	Portugal	1	50	4	3	Yes	Yes	Yes
C2P028	Portugal	1	43	2	1	Yes	No	No
C2P029	Portugal	1	48	4	3	Yes	Yes	Yes
C2P030	Portugal	1	5	1	1	Yes	No	No
C2P032	Portugal	1	35	1	1	No	Yes	No
C2P033	Portugal	1	47	4	3	Yes	Yes	Yes
C2P034	Portugal	1	31	1	1	Yes	No	No
C2P035	Portugal	1	43	2	1	Yes	No	No
C2P036	Portugal	1	51	4	3	Yes	Yes	Yes
C2P038	Portugal	1	38	1	1	No	No	Yes
C2P039	Portugal	1	44	2	2	Yes	No	Yes
C2P040	Portugal	1	54	14	3	Yes	Yes	Yes
C2P041	Portugal	1	32	1	1	Yes	No	No
C2P042	Portugal	1	44	2	2	Yes	No	Yes
C2P043	Portugal	1	48	4	3	Yes	Yes	Yes
C2P044	Portugal	1	35	1	1	No	Yes	No
C2P045	Portugal	1	50	4	3	Yes	Yes	Yes
C2P046	Portugal	1	31	1	1	Yes	No	No
C2P047	Portugal	1	9	1	1	No	No	Yes
C2P048	Portugal	1	42	2	1	Yes	No	No
C2P049	Portugal	1	36	1	1	No	Yes	No
C2P050	Portugal	1	42	2	1	Yes	No	No
C2P051	Portugal	1	40	1	1	No	No	Yes
C2P052	Portugal	1	46	2	2	Yes	Yes	No
C2P053	Portugal	1	47	4	3	Yes	Yes	Yes
C2P054	Portugal	1	53	8	3	Yes	Yes	Yes
C2P055	Portugal	1	52	8	3	Yes	Yes	Yes
C2P056	Portugal	1	41	1	1	No	No	Yes
C2P057	Portugal	1	41	1	1	No	No	Yes
C2P058	Portugal	1	46	2	2	Yes	Yes	No
C2P064	Portugal	1	54	14	3	Yes	Yes	Yes
C2P065	Portugal	1	54	14	3	Yes	Yes	Yes
C2P067	Portugal	1	53	8	3	Yes	Yes	Yes
L3P001	Switzerland	1	55	1	1	Yes	No	No
L3P002	Switzerland	1	56	4	1	Yes	No	No
L3P003	Switzerland	1	57	4	3	Yes	Yes	Yes
L3P004	Switzerland	1	9	1	1	No	No	Yes
L3P005	Switzerland	1	58	4	2	Yes	No	Yes
L3P006	Switzerland	1	59	8	3	Yes	Yes	Yes
L3P007	Switzerland	1	60	4	2	Yes	Yes	No
L3P008	Switzerland	1	6	1	1	No	Yes	No
L3P009	Switzerland	1	61	8	1	Yes	No	No
L3P010	Switzerland	1	62	2	2	Yes	Yes	No
L3P011	Switzerland	1	2	1	1	Yes	No	No
L3P012	Switzerland	1	63	2	1	Yes	No	No
L3P013	Switzerland	1	7	1	1	No	Yes	No
L3P014	Switzerland	1	64	2	2	Yes	No	Yes
L3P015	Switzerland	1	65	4	2	Yes	No	Yes
L3P016	Switzerland	1	66	4	1	Yes	No	No
L3P017	Switzerland	1	67	2	2	Yes	No	Yes
L3P018	Switzerland	1	68	8	2	Yes	No	Yes
L3P019	Switzerland	1	69	32	3	Yes	Yes	Yes
L3P020	Switzerland	1	70	2	1	Yes	No	No
L3P021	Switzerland	1	71	8	3	Yes	Yes	Yes
L3P022	Switzerland	1	72	2	2	Yes	Yes	No
L3P023	Switzerland	1	73	4	3	Yes	Yes	Yes
L3P024	Switzerland	1	74	1	1	Yes	No	No
L3P025	Switzerland	1	75	2	1	Yes	No	No
L3P026	Switzerland	1	76	1	1	Yes	No	No
L3P027	Switzerland	1	77	32	3	Yes	Yes	Yes
L3P028	Switzerland	1	78	1	1	Yes	No	No
L3P029	Switzerland	1	79	4	2	Yes	Yes	No
L3P030	Switzerland	1	80	8	2	Yes	Yes	No
L3P031	Switzerland	1	3	1	1	Yes	No	No
L3P032	Switzerland	1	81	1	1	No	No	Yes
L3P033	Switzerland	2	79	4	2	Yes	Yes	No
L3P034	Switzerland	2	69	32	3	Yes	Yes	Yes
L3P035	Switzerland	2	56	4	1	Yes	No	No
L3P036	Switzerland	2	2	1	1	Yes	No	No
L3P037	Switzerland	2	81	1	1	No	No	Yes
L3P038	Switzerland	2	7	1	1	No	Yes	No
L3P039	Switzerland	2	71	8	3	Yes	Yes	Yes
L3P040	Switzerland	2	62	2	2	Yes	Yes	No
L3P041	Switzerland	2	64	2	2	Yes	No	Yes
L3P042	Switzerland	2	9	1	1	No	No	Yes
L3P043	Switzerland	2	55	1	1	Yes	No	No
L3P044	Switzerland	2	60	4	2	Yes	Yes	No
L3P045	Switzerland	2	6	1	1	No	Yes	No
L3P046	Switzerland	2	67	2	2	Yes	No	Yes
L3P047	Switzerland	2	63	2	1	Yes	No	No
L3P048	Switzerland	2	59	8	3	Yes	Yes	Yes
L3P049	Switzerland	2	3	1	1	Yes	No	No
L3P050	Switzerland	2	65	4	2	Yes	No	Yes
L3P051	Switzerland	2	57	4	3	Yes	Yes	Yes
L3P052	Switzerland	2	70	2	1	Yes	No	No
L3P053	Switzerland	2	76	1	1	Yes	No	No
L3P054	Switzerland	2	66	4	1	Yes	No	No
L3P055	Switzerland	2	80	8	2	Yes	Yes	No
L3P056	Switzerland	2	73	4	3	Yes	Yes	Yes
L3P057	Switzerland	2	75	2	1	Yes	No	No
L3P058	Switzerland	2	78	1	1	Yes	No	No
L3P059	Switzerland	2	61	8	1	Yes	No	No
L3P060	Switzerland	2	77	32	3	Yes	Yes	Yes
L3P061	Switzerland	2	74	1	1	Yes	No	No
L3P062	Switzerland	2	58	4	2	Yes	No	Yes
L3P063	Switzerland	2	68	8	2	Yes	No	Yes
L3P064	Switzerland	2	72	2	2	Yes	Yes	No
M4P001	Greece	1	93	2	2	Yes	Yes	No
M4P002	Greece	1	102	8	3	Yes	Yes	Yes
M4P003	Greece	1	82	1	1	No	No	Yes
M4P004	Greece	1	88	1	1	No	Yes	No
M4P005	Greece	1	95	4	2	Yes	No	Yes
M4P006	Greece	1	97	4	3	Yes	Yes	Yes
M4P009	Greece	1	105	18	3	Yes	Yes	Yes
M4P010	Greece	1	89	2	2	No	Yes	Yes
M4P011	Greece	1	91	2	2	Yes	No	Yes
M4P012	Greece	1	106	18	3	Yes	Yes	Yes
M4P014	Greece	1	85	1	1	Yes	No	No
M4P015	Greece	1	84	1	1	No	No	Yes
M4P016	Greece	1	98	4	2	Yes	No	Yes
M4P017	Greece	1	94	2	1	Yes	No	No
M4P018	Greece	1	99	4	3	Yes	Yes	Yes
M4P019	Greece	1	100	8	3	Yes	Yes	Yes
M4P020	Greece	1	92	2	2	Yes	No	Yes
M4P021	Greece	1	87	1	1	Yes	No	No
M4P022	Greece	1	104	18	3	Yes	Yes	Yes
M4P023	Greece	1	96	4	2	Yes	Yes	No
M4P024	Greece	1	101	8	3	Yes	Yes	Yes
M4P026	Greece	1	107	18	3	Yes	Yes	Yes
M4P027	Greece	1	90	2	2	Yes	Yes	No
M4P028	Greece	1	83	1	1	Yes	No	No
M4P029	Greece	1	103	8	3	Yes	Yes	Yes
M4P030	Greece	1	86	1	1	No	No	Yes
M4P031	Greece	2	84	1	1	No	No	Yes
M4P032	Greece	2	107	18	3	Yes	Yes	Yes
M4P033	Greece	2	90	2	2	Yes	Yes	No
M4P034	Greece	2	89	2	2	No	Yes	Yes
M4P035	Greece	2	99	4	3	Yes	Yes	Yes
M4P036	Greece	2	94	2	1	Yes	No	No
M4P037	Greece	2	91	2	2	Yes	No	Yes
M4P038	Greece	2	105	18	3	Yes	Yes	Yes
M4P039	Greece	2	86	1	1	No	No	Yes
M4P041	Greece	2	103	8	3	Yes	Yes	Yes
M4P042	Greece	2	97	4	3	Yes	Yes	Yes
M4P043	Greece	2	83	1	1	Yes	No	No
M4P044	Greece	2	101	8	3	Yes	Yes	Yes
M4P045	Greece	2	96	4	2	Yes	Yes	No
M4P046	Greece	2	104	18	3	Yes	Yes	Yes
M4P047	Greece	2	88	1	1	No	Yes	No
M4P048	Greece	2	93	2	2	Yes	Yes	No
M4P049	Greece	2	87	1	1	Yes	No	No
M4P050	Greece	2	82	1	1	No	No	Yes
M4P051	Greece	2	102	8	3	Yes	Yes	Yes
M4P052	Greece	2	85	1	1	Yes	No	No
M4P053	Greece	2	95	4	2	Yes	No	Yes
M4P054	Greece	2	106	18	3	Yes	Yes	Yes
M4P056	Greece	2	92	2	2	Yes	No	Yes
M4P058	Greece	2	100	8	3	Yes	Yes	Yes
M4P060	Greece	2	98	4	2	Yes	No	Yes
R5P003	Ireland	1	108	1	1	Yes	No	No
R5P004	Ireland	1	117	2	2	Yes	Yes	No
R5P005	Ireland	1	5	1	1	Yes	No	No
R5P006	Ireland	1	127	4	3	Yes	Yes	Yes
R5P007	Ireland	1	131	4	2	No	Yes	Yes
R5P008	Ireland	1	118	2	2	Yes	No	Yes
R5P009	Ireland	1	135	8	2	Yes	No	Yes
R5P010	Ireland	1	7	1	1	No	Yes	No
R5P011	Ireland	1	112	1	1	No	No	Yes
R5P012	Ireland	1	120	2	2	No	Yes	Yes
R5P013	Ireland	1	113	1	1	No	No	Yes
R5P014	Ireland	1	130	4	2	Yes	No	Yes
R5P015	Ireland	1	124	4	1	Yes	No	No
R5P016	Ireland	1	116	2	2	Yes	Yes	No
R5P017	Ireland	1	1	1	1	Yes	No	No
R5P018	Ireland	1	119	2	2	Yes	No	Yes
R5P019	Ireland	1	126	4	2	Yes	Yes	No
R5P020	Ireland	1	110	1	1	No	Yes	No
R5P021	Ireland	1	136	8	2	No	Yes	Yes
R5P022	Ireland	1	132	4	2	No	Yes	Yes
R5P023	Ireland	1	114	2	1	Yes	No	No
R5P024	Ireland	1	121	2	2	No	Yes	Yes
R5P025	Ireland	1	109	1	1	Yes	No	No
R5P026	Ireland	1	111	1	1	No	No	Yes
R5P027	Ireland	1	9	1	1	No	No	Yes
R5P028	Ireland	1	133	8	3	Yes	Yes	Yes
R5P029	Ireland	1	135	8	2	Yes	No	Yes
R5P030	Ireland	1	134	8	3	Yes	Yes	Yes
R5P031	Ireland	1	128	4	3	Yes	Yes	Yes
R5P032	Ireland	1	115	2	1	Yes	No	No
R5P033	Ireland	1	122	3	3	Yes	Yes	Yes
R5P035	Ireland	1	125	4	2	Yes	Yes	No
R5P036	Ireland	1	129	4	2	Yes	No	Yes
R5P037	Ireland	1	123	3	3	Yes	Yes	Yes
R5P038	Ireland	1	124	4	1	Yes	No	No
R5P041	Ireland	2	1	1	1	Yes	No	No
R5P042	Ireland	2	125	4	2	Yes	Yes	No
R5P043	Ireland	2	111	1	1	No	No	Yes
R5P044	Ireland	2	122	3	3	Yes	Yes	Yes
R5P045	Ireland	2	135	8	2	Yes	No	Yes
R5P046	Ireland	2	132	4	2	No	Yes	Yes
R5P047	Ireland	2	131	4	2	No	Yes	Yes
R5P048	Ireland	2	114	2	1	Yes	No	No
R5P049	Ireland	2	119	2	2	Yes	No	Yes
R5P050	Ireland	2	123	3	3	Yes	Yes	Yes
R5P051	Ireland	2	134	8	3	Yes	Yes	Yes
R5P052	Ireland	2	133	8	3	Yes	Yes	Yes
R5P053	Ireland	2	120	2	2	No	Yes	Yes
R5P055	Ireland	2	129	4	2	Yes	No	Yes
R5P056	Ireland	2	127	4	3	Yes	Yes	Yes
R5P057	Ireland	2	135	8	2	Yes	No	Yes
R5P058	Ireland	2	136	8	2	No	Yes	Yes
R5P059	Ireland	2	130	4	2	Yes	No	Yes
R5P060	Ireland	2	7	1	1	No	Yes	No
R5P061	Ireland	2	118	2	2	Yes	No	Yes
R5P062	Ireland	2	121	2	2	No	Yes	Yes
R5P063	Ireland	2	9	1	1	No	No	Yes
R5P064	Ireland	2	128	4	3	Yes	Yes	Yes
R5P065	Ireland	2	116	2	2	Yes	Yes	No
R5P066	Ireland	2	124	4	1	Yes	No	No
R5P067	Ireland	2	110	1	1	No	Yes	No
R5P068	Ireland	2	115	2	1	Yes	No	No
R5P069	Ireland	2	124	4	1	Yes	No	No
R5P070	Ireland	2	112	1	1	No	No	Yes
R5P071	Ireland	2	108	1	1	Yes	No	No
R5P072	Ireland	2	5	1	1	Yes	No	No
R5P073	Ireland	2	117	2	2	Yes	Yes	No
R5P074	Ireland	2	109	1	1	Yes	No	No
R5P075	Ireland	2	126	4	2	Yes	Yes	No
R5P076	Ireland	2	113	1	1	No	No	Yes
R6P001	Sweden	2	153	4	3	Yes	Yes	Yes
R6P002	Sweden	2	140	1	1	No	Yes	No
R6P003	Sweden	2	10	1	1	No	No	Yes
R6P004	Sweden	2	141	1	1	No	Yes	No
R6P005	Sweden	2	137	1	1	Yes	No	No
R6P008	Sweden	1	10	1	1	No	No	Yes
R6P009	Sweden	1	159	12	3	Yes	Yes	Yes
R6P010	Sweden	1	159	12	3	Yes	Yes	Yes
R6P011	Sweden	1	141	1	1	No	Yes	No
R6P012	Sweden	1	144	2	1	Yes	No	No
R6P013	Sweden	1	153	4	3	Yes	Yes	Yes
R6P014	Sweden	1	143	1	1	No	No	Yes
R6P015	Sweden	1	148	2	1	No	No	Yes
R6P017	Sweden	1	158	8	3	Yes	Yes	Yes
R6P018	Sweden	1	156	8	3	Yes	Yes	Yes
R6P019	Sweden	2	149	2	1	No	Yes	No
R6P020	Sweden	2	152	4	2	Yes	No	Yes
R6P021	Sweden	2	6	1	1	No	Yes	No
R6P023	Sweden	2	159	12	3	Yes	Yes	Yes
R6P024	Sweden	2	158	8	3	Yes	Yes	Yes
R6P025	Sweden	2	156	8	3	Yes	Yes	Yes
R6P026	Sweden	2	155	4	3	Yes	Yes	Yes
R6P027	Sweden	2	151	4	2	No	Yes	Yes
R6P028	Sweden	2	146	2	2	No	Yes	Yes
R6P029	Sweden	2	145	2	2	Yes	Yes	No
