plot	location	block	composition	species.richness	functional.richness	legumes	N.total
B1P001	Germany	1	5	1	1	No	2.56
B1P002	Germany	1	29	16	3	Yes	2.18
B1P003	Germany	1	15	2	2	No	3.18
B1P004	Germany	1	7	1	1	Yes	5.19
B1P005	Germany	1	16	2	2	No	3.46
B1P006	Germany	1	8	1	1	No	3.56
B1P007	Germany	1	4	1	1	No	2.55
B1P008	Germany	1	13	2	2	Yes	3.91
B1P009	Germany	1	26	8	3	Yes	3.03
B1P010	Germany	1	18	4	1	No	2.86
B1P011	Germany	1	30	16	3	Yes	0.91
B1P013	Germany	1	20	4	2	No	1.57
B1P014	Germany	1	17	2	2	No	3.11
B1P015	Germany	1	24	8	2	Yes	1.67
B1P016	Germany	1	23	8	1	No	1.11
B1P017	Germany	1	22	4	3	Yes	1.11
B1P018	Germany	1	6	1	1	Yes	2.53
B1P019	Germany	1	11	2	1	No	1.83
B1P020	Germany	1	10	1	1	No	1.2
B1P021	Germany	1	3	1	1	No	0
B1P022	Germany	1	25	8	2	No	2.62
B1P023	Germany	1	21	4	3	Yes	1.51
B1P024	Germany	1	9	1	1	No	1.64
B1P025	Germany	1	14	2	2	Yes	5.41
B1P026	Germany	1	27	8	3	Yes	0.9
B1P027	Germany	1	12	2	1	No	2.25
B1P028	Germany	1	28	16	3	Yes	0
B1P030	Germany	1	1	1	1	No	1.94
B1P031	Germany	1	19	4	2	Yes	3.3
B1P032	Germany	1	2	1	1	No	1.69
B1P033	Germany	2	7	1	1	Yes	4.43
B1P034	Germany	2	13	2	2	Yes	2.13
B1P035	Germany	2	15	2	2	No	0.83
B1P036	Germany	2	22	4	3	Yes	1.91
B1P037	Germany	2	27	8	3	Yes	1.64
B1P038	Germany	2	30	16	3	Yes	3.05
B1P039	Germany	2	1	1	1	No	2.36
B1P040	Germany	2	20	4	2	No	2.6
B1P042	Germany	2	2	1	1	No	1.82
B1P043	Germany	2	9	1	1	No	3.98
B1P044	Germany	2	25	8	2	No	2.76
B1P045	Germany	2	23	8	1	No	1.79
B1P046	Germany	2	11	2	1	No	2.52
B1P047	Germany	2	8	1	1	No	1.2
