plot	location	block	composition	species.richness	functional.richness	legumes	mass.g.m2	N.percent	N.g.m2
B1P001	1	1	5	1	1	No	450.2	0.73	3.286
B1P002	1	1	29	16	3	Yes	871.4	1.42	12.374
B1P003	1	1	15	2	2	No	483.55	1.02	4.932
B1P004	1	1	7	1	1	Yes	406.55	2.98	12.115
B1P005	1	1	16	2	2	No	245.5	1.02	2.504
B1P006	1	1	8	1	1	No	390.7	1.52	5.939
B1P007	1	1	4	1	1	No	231.1	1.02	2.357
B1P008	1	1	13	2	2	Yes	688.8	1.85	12.743
B1P009	1	1	26	8	3	Yes	837	1.44	12.053
B1P010	1	1	18	4	1	No	263.25	1.03	2.711
B1P011	1	1	30	16	3	Yes	1222.9	1.34	16.387
B1P013	1	1	20	4	2	No	292.65	1.3	3.804
B1P014	1	1	17	2	2	No	207.35	1.49	3.09
B1P015	1	1	24	8	2	Yes	848.7	1.29	10.948
B1P016	1	1	23	8	1	No	224.85	1.02	2.293
B1P017	1	1	22	4	3	Yes	590.3	1.65	9.74
B1P018	1	1	6	1	1	Yes	769.55	2.46	18.931
B1P019	1	1	11	2	1	No	227.15	1.21	2.749
B1P020	1	1	10	1	1	No	174.05	1.12	1.949
B1P021	1	1	3	1	1	No	245.2	0.92	2.256
B1P022	1	1	25	8	2	No	272.9	0.93	2.538
B1P023	1	1	21	4	3	Yes	534.2	1.25	6.678
B1P024	1	1	9	1	1	No	146.05	1.15	1.68
B1P025	1	1	14	2	2	Yes	851.1	2.1	17.873
B1P026	1	1	27	8	3	Yes	748.19	1.25	9.352
B1P027	1	1	12	2	1	No	297.15	0.94	2.793
B1P028	1	1	28	16	3	Yes	1028.05	1.23	12.645
B1P030	1	1	1	1	1	No	237.25	1.05	2.491
B1P031	1	1	19	4	2	Yes	651.85	1.42	9.256
B1P032	1	1	2	1	1	No	327.4	0.93	3.045
B1P033	1	2	7	1	1	Yes	308.9	3.02	9.329
B1P034	1	2	13	2	2	Yes	1046.9	0.9	9.422
B1P035	1	2	15	2	2	No	355.25	1.14	4.05
B1P036	1	2	22	4	3	Yes	652.4	1.94	12.657
B1P037	1	2	27	8	3	Yes	734.5	1.25	9.181
B1P038	1	2	30	16	3	Yes	876.55	1.88	16.479
B1P039	1	2	1	1	1	No	271.2	1.11	3.01
B1P040	1	2	20	4	2	No	180.35	1.03	1.858
B1P042	1	2	2	1	1	No	276	1.07	2.953
B1P043	1	2	9	1	1	No	251.8	1.27	3.198
B1P044	1	2	25	8	2	No	251.35	1.24	3.117
B1P045	1	2	23	8	1	No	296.15	1.15	3.406
B1P046	1	2	11	2	1	No	271.45	1.08	2.932
B1P047	1	2	8	1	1	No	269.35	1.39	3.744
B1P048	1	2	6	1	1	Yes	660.9	2.25	14.87
B1P049	1	2	16	2	2	No	219.65	1.08	2.372
B1P050	1	2	18	4	1	No	272.15	1.05	2.858
B1P051	1	2	28	16	3	Yes	891.65	1.18	10.521
B1P052	1	2	4	1	1	No	206.8	1.29	2.668
B1P053	1	2	10	1	1	No	140.95	1.1	1.55
B1P054	1	2	12	2	1	No	235.1	0.95	2.233
B1P055	1	2	21	4	3	Yes	605.15	1.31	7.927
B1P056	1	2	29	16	3	Yes	588.6	1.47	8.652
B1P057	1	2	19	4	2	Yes	529.55	1.72	9.108
B1P058	1	2	3	1	1	No	189.35	1.23	2.329
B1P059	1	2	24	8	2	Yes	785.3	1.25	9.816
B1P060	1	2	14	2	2	Yes	528.25	2.09	11.04
B1P062	1	2	17	2	2	No	131.45	1.17	1.538
B1P063	1	2	5	1	1	No	361	0.77	2.78
B1P064	1	2	26	8	3	Yes	1209.7	1.29	15.605
