year	plot	location	block	composition	species.richness	functional.richness	legumes	species.observed
1	B1P001	1	1	5	1	1	No	1
1	B1P002	1	1	29	16	3	Yes	12
1	B1P003	1	1	15	2	2	No	2
1	B1P004	1	1	7	1	1	Yes	1
1	B1P005	1	1	16	2	2	No	2
1	B1P006	1	1	8	1	1	No	1
1	B1P007	1	1	4	1	1	No	1
1	B1P008	1	1	13	2	2	Yes	2
1	B1P009	1	1	26	8	3	Yes	8
1	B1P010	1	1	18	4	1	No	4
1	B1P011	1	1	30	16	3	Yes	12
1	B1P013	1	1	20	4	2	No	4
1	B1P014	1	1	17	2	2	No	2
1	B1P015	1	1	24	8	2	Yes	8
1	B1P016	1	1	23	8	1	No	8
1	B1P017	1	1	22	4	3	Yes	4
1	B1P018	1	1	6	1	1	Yes	1
1	B1P019	1	1	11	2	1	No	2
1	B1P020	1	1	10	1	1	No	1
1	B1P021	1	1	3	1	1	No	1
1	B1P022	1	1	25	8	2	No	8
1	B1P023	1	1	21	4	3	Yes	4
1	B1P024	1	1	9	1	1	No	1
1	B1P025	1	1	14	2	2	Yes	2
1	B1P026	1	1	27	8	3	Yes	7
1	B1P027	1	1	12	2	1	No	2
1	B1P028	1	1	28	16	3	Yes	14
1	B1P030	1	1	1	1	1	No	1
1	B1P031	1	1	19	4	2	Yes	4
1	B1P032	1	1	2	1	1	No	1
1	B1P033	1	2	7	1	1	Yes	1
1	B1P034	1	2	13	2	2	Yes	2
1	B1P035	1	2	15	2	2	No	2
1	B1P036	1	2	22	4	3	Yes	4
1	B1P037	1	2	27	8	3	Yes	7
1	B1P038	1	2	30	16	3	Yes	13
1	B1P039	1	2	1	1	1	No	1
1	B1P040	1	2	20	4	2	No	4
1	B1P042	1	2	2	1	1	No	1
1	B1P043	1	2	9	1	1	No	1
1	B1P044	1	2	25	8	2	No	8
1	B1P045	1	2	23	8	1	No	8
1	B1P046	1	2	11	2	1	No	2
1	B1P047	1	2	8	1	1	No	1
1	B1P048	1	2	6	1	1	Yes	1
1	B1P049	1	2	16	2	2	No	2
1	B1P050	1	2	18	4	1	No	4
1	B1P051	1	2	28	16	3	Yes	13
1	B1P052	1	2	4	1	1	No	1
1	B1P053	1	2	10	1	1	No	1
1	B1P054	1	2	12	2	1	No	2
1	B1P055	1	2	21	4	3	Yes	4
1	B1P056	1	2	29	16	3	Yes	13
