year	plot	location	block	composition	species.richness	functional.richness	legumes	net.effect	complementarity.effect	selection.effect
1	B1P001	1	1	5	1	1	No	75.5	75.5	-1.42E-14
1	B1P003	1	1	15	2	2	No	47.55	-40.04545067	87.59545067
1	B1P004	1	1	7	1	1	Yes	-25.2	-25.2	1.07E-14
1	B1P005	1	1	16	2	2	No	333.3	223.4487032	109.8512968
1	B1P006	1	1	8	1	1	No	-48.55	-48.55	-1.42E-14
1	B1P007	1	1	4	1	1	No	1.8	1.8	3.66E-14
1	B1P008	1	1	13	2	2	Yes	78.75	138.1663134	-59.41631337
1	B1P013	1	1	20	4	2	No	110.25	85.36736255	24.88263745
1	B1P018	1	1	6	1	1	Yes	-172.1	-172.1	-2.84E-14
1	B1P019	1	1	11	2	1	No	52.75	-53.12909848	105.8790985
1	B1P020	1	1	10	1	1	No	0.15	0.15	2.14E-15
1	B1P021	1	1	3	1	1	No	-145.7	-145.7	-2.84E-14
1	B1P024	1	1	9	1	1	No	23.3	23.3	2.49E-14
1	B1P025	1	1	14	2	2	Yes	-116.4	-107.6362176	-8.763782359
1	B1P027	1	1	12	2	1	No	116.95	110.2147751	6.735224877
1	B1P030	1	1	1	1	1	No	-0.15	-0.15	-1.35E-14
1	B1P031	1	1	19	4	2	Yes	57.45	-35.61647403	93.06647403
1	B1P032	1	1	2	1	1	No	-64.25	-64.25	1.42E-14
1	B1P033	1	2	7	1	1	Yes	25.2	25.2	1.78E-14
1	B1P034	1	2	13	2	2	Yes	-85.15	-109.8922214	24.74222142
1	B1P035	1	2	15	2	2	No	121.45	0.909105757	120.5408942
1	B1P039	1	2	1	1	1	No	0.15	0.15	1.55E-14
1	B1P040	1	2	20	4	2	No	29.95	-22.41237132	52.36237132
1	B1P042	1	2	2	1	1	No	64.25	64.25	-1.42E-14
1	B1P043	1	2	9	1	1	No	-23.3	-23.3	-2.49E-14
1	B1P046	1	2	11	2	1	No	372.35	198.3430933	174.0069067
1	B1P047	1	2	8	1	1	No	48.55	48.55	-2.13E-14
1	B1P048	1	2	6	1	1	Yes	172.1	172.1	-2.84E-14
1	B1P049	1	2	16	2	2	No	19.3	-49.45362792	68.75362792
1	B1P052	1	2	4	1	1	No	-1.8	-1.8	1.24E-14
1	B1P053	1	2	10	1	1	No	-0.15	-0.15	-2.14E-15
1	B1P054	1	2	12	2	1	No	93.75	89.65201571	4.097984291
1	B1P057	1	2	19	4	2	Yes	276.95	153.5971814	123.3528186
1	B1P058	1	2	3	1	1	No	145.7	145.7	2.84E-14
1	B1P060	1	2	14	2	2	Yes	130.5	146.1878715	-15.68787152
1	B1P063	1	2	5	1	1	No	-75.5	-75.5	1.42E-14
1	C2P001	2	1	38	1	1	No	-88.34995	-88.34995	-1.42E-14
1	C2P002	2	1	5	1	1	No	87.04995	87.04995	0
1	C2P003	2	1	51	4	3	Yes	112.481325	194.2675716	-81.78624658
1	C2P004	2	1	45	2	2	No	-128.837575	-119.9186937	-8.918881325
1	C2P005	2	1	39	1	1	No	26.17515	26.17515	-3.55E-14
1	C2P006	2	1	52	8	3	Yes	151.160475	55.36986611	95.79060889
1	C2P007	2	1	9	1	1	No	-22.8	-22.8	-3.55E-15
1	C2P008	2	1	3	1	1	No	-15.4	-15.4	0
1	C2P009	2	1	49	4	3	Yes	263.9504125	149.826447	114.1239655
1	C2P010	2	1	40	1	1	No	11.57495	11.57495	-3.55E-15
1	C2P012	2	1	37	1	1	No	13.22495	13.22495	1.78E-15
1	C2P013	2	1	37	1	1	No	-13.22495	-13.22495	-1.78E-15
1	C2P014	2	1	36	1	1	Yes	-33.54995	-33.54995	0
1	C2P015	2	1	33	1	1	No	-12.99995	-12.99995	0
1	C2P016	2	1	33	1	1	No	12.99995	12.99995	-1.24E-14
1	C2P017	2	1	34	1	1	Yes	-13.225	-13.225	3.55E-15
