year	plot	location	block	composition	species.richness	functional.richness	legumes	biomass
1	B1P001	1	1	5	1	1	No	619.65
1	B1P002	1	1	29	16	3	Yes	832.4
1	B1P003	1	1	15	2	2	No	427.7
1	B1P004	1	1	7	1	1	Yes	259.9
1	B1P005	1	1	16	2	2	No	794.25
1	B1P006	1	1	8	1	1	No	233.3
1	B1P007	1	1	4	1	1	No	498.5
1	B1P008	1	1	13	2	2	Yes	472.05
1	B1P009	1	1	26	8	3	Yes	574.7
1	B1P010	1	1	18	4	1	No	446.5
1	B1P011	1	1	30	16	3	Yes	528.7
1	B1P013	1	1	20	4	2	No	605.15
1	B1P014	1	1	17	2	2	No	464.4
1	B1P015	1	1	24	8	2	Yes	475.8
1	B1P016	1	1	23	8	1	No	577.45
1	B1P017	1	1	22	4	3	Yes	837
1	B1P018	1	1	6	1	1	Yes	423.7
1	B1P019	1	1	11	2	1	No	570.3
1	B1P020	1	1	10	1	1	No	196.35
1	B1P021	1	1	3	1	1	No	561.2
1	B1P022	1	1	25	8	2	No	589
1	B1P023	1	1	21	4	3	Yes	748.15
1	B1P024	1	1	9	1	1	No	757.6
1	B1P025	1	1	14	2	2	Yes	329.85
1	B1P026	1	1	27	8	3	Yes	362.7
1	B1P027	1	1	12	2	1	No	495.5
1	B1P028	1	1	28	16	3	Yes	289.6
1	B1P030	1	1	1	1	1	No	295.5
1	B1P031	1	1	19	4	2	Yes	407.3
1	B1P032	1	1	2	1	1	No	439
1	B1P033	1	2	7	1	1	Yes	280.9
1	B1P034	1	2	13	2	2	Yes	266.3
1	B1P035	1	2	15	2	2	No	497.95
1	B1P036	1	2	22	4	3	Yes	709.6
1	B1P037	1	2	27	8	3	Yes	312.3
1	B1P038	1	2	30	16	3	Yes	607.85
1	B1P039	1	2	1	1	1	No	253
1	B1P040	1	2	20	4	2	No	419.3
1	B1P042	1	2	2	1	1	No	452.7
1	B1P043	1	2	9	1	1	No	546.45
1	B1P044	1	2	25	8	2	No	579.45
1	B1P045	1	2	23	8	1	No	808.6
1	B1P046	1	2	11	2	1	No	758.55
1	B1P047	1	2	8	1	1	No	402.45
1	B1P048	1	2	6	1	1	Yes	554.25
1	B1P049	1	2	16	2	2	No	581.45
1	B1P050	1	2	18	4	1	No	682.5
1	B1P051	1	2	28	16	3	Yes	575.5
1	B1P052	1	2	4	1	1	No	530.25
1	B1P053	1	2	10	1	1	No	197.75
1	B1P054	1	2	12	2	1	No	549.25
1	B1P055	1	2	21	4	3	Yes	581.4
1	B1P056	1	2	29	16	3	Yes	885.25
1	B1P057	1	2	19	4	2	Yes	567.1
1	B1P058	1	2	3	1	1	No	643.2
1	B1P059	1	2	24	8	2	Yes	540.45
1	B1P060	1	2	14	2	2	Yes	630.25
1	B1P062	1	2	17	2	2	No	739.1
1	B1P063	1	2	5	1	1	No	507
1	B1P064	1	2	26	8	3	Yes	499.15
1	C2P001	2	1	38	1	1	No	177.2001
1	C2P002	2	1	5	1	1	No	320.45
1	C2P003	2	1	51	4	3	Yes	373.0001
1	C2P004	2	1	45	2	2	No	192.9
1	C2P005	2	1	39	1	1	No	362.3502
1	C2P006	2	1	52	8	3	Yes	283.3011
1	C2P007	2	1	9	1	1	No	35.95
1	C2P008	2	1	3	1	1	No	39.2
1	C2P009	2	1	49	4	3	Yes	373.3004
1	C2P010	2	1	40	1	1	No	66.9499
1	C2P012	2	1	37	1	1	No	44.6499
1	C2P013	2	1	37	1	1	No	18.2
1	C2P014	2	1	36	1	1	Yes	9.75
1	C2P015	2	1	33	1	1	No	102.5501
1	C2P016	2	1	33	1	1	No	128.55
1	C2P017	2	1	34	1	1	Yes	136.45
1	C2P018	2	1	3	1	1	No	70
1	C2P019	2	1	32	1	1	No	304.65
