/* DATA DESCRIPTION:
Citation:	Strecker, Tanja; Gonzalez, Odette; Scheu, Stefan; Eisenhauer, Nico (2015): Analysis of spatial microbial properties from experimental plots of the Jena experiment (September 2010). PANGAEA, https://doi.org/10.1594/PANGAEA.854692, 
	In supplement to: Strecker, T et al. (2016): Functional composition of plant communities determines the spatial and temporal stability of soil microbial properties in a long-term plant diversity experiment. Oikos, (accepted), https://doi.org/10.1111/oik.03181
Abstract:	The study was carried out on the main plots (Main Experiment) of a large grassland biodiversity experiment, the Jena Experiment. In the main experiment, 82 grassland plots of 20 x 20 m were established from a pool of 60 species belonging to four functional groups (grasses, legumes, tall and small herbs). In May 2002, varying numbers of plant species from this species pool were sown into the plots to create a gradient of plant species richness (1, 2, 4, 8, 16 and 60 species) and functional richness (1, 2, 3, 4 functional groups). Plots were maintained by bi-annual weeding and mowing. This data set consists of standard deviation (SD), mean and stability (stab) of soil microbial basal respiration (µl O2/h/g dry soil) and microbial biomass carbon (µg C/g dry soil). Data were derived by taking soil samples and measuring basal and substrate-induced microbial respiration with an oxygen-consumption apparatus. Samples for calculating the spatial stability of soil microbial properties were taken on the 20th of September in 2010. Oxygen consumption of soil microorganisms in fresh soil equivalent to 3.5 g dry weight was measured at 22°C over a period of 24 h. Basal respiration (µlO2/g dry soil/h) was calculated as mean of the oxygen consumption rates of hours 14 to 24 after the start of measurements. Substrate- induced respiration was determined by adding D-glucose to saturate catabolic enzymes of microorganisms according to preliminary studies (4 mg g-1 dry soil solved in 400 µl deionized water). Maximum initial respiratory response (µl O2/g dry soil/ h) was calculated as mean of the lowest three oxygen consumption values within the first 10 h after glucose addition. Microbial biomass carbon (µg C/g dry soil) was calculated as 38 × Maximum initial respiratory response according to prelimiray studies.
Further details:	Plot information of the Jena Main Experiment (URI: http://store.pangaea.de/Publications/Jena_Experiment/PlotInformationMainExperiment.txt)
	Treatment description (URI: http://store.pangaea.de/Publications/Jena_Experiment/TreatmentDefinitionsJuly2012.pdf)
	Anderson, J P E; Domsch, K H (1978): A physiological method for the quantitative measurement of microbial biomass in soils. Soil Biology & Biochemistry, 10(3), 215-221, https://doi.org/10.1016/0038-0717(78)90099-8
	Beck, T; Joergensen, R G; Kandeler, E; Makeschin, F; Nuss, E; Oberholzer, H R; Scheu, Stefan (1997): An inter-laboratory comparison of ten different ways of measuring soil microbial biomass C. Soil Biology & Biochemistry, 29(7), 1023-1032, https://doi.org/10.1016/S0038-0717(97)00030-8
	Scheu, Stefan (1992): Automated measurement of the respiratory response of soil microcompartments: Active microbial biomass in earthworm faeces. Soil Biology & Biochemistry, 24(11), 1113-1118, https://doi.org/10.1016/0038-0717(92)90061-2
Project(s):	The Jena Experiment (JenExp) (URI: http://www.the-jena-experiment.de/)
Coverage:	LATITUDE: 50.946100 * LONGITUDE: 11.611300
	MINIMUM DEPTH, sediment/rock: 0.1 m * MAXIMUM DEPTH, sediment/rock: 0.1 m
Event(s):	Jena_Experiment (Jena Experiment) * LATITUDE: 50.946100 * LONGITUDE: 11.611300 * LOCATION: Thuringia, Germany * DEVICE: Experiment (EXP)
Comment:	The spatial soil cores had a diameter from 1,5 cm and were taken up to 10 cm. The soil was sampled in plastic bags, stored at 5 degree C for max. 6 weeks until further measurements.
Parameter(s):	Experimental plot (Experimental plot) * COMMENT: detailed explanations of plots and the plant diversity gradient are provided in the section "further details".
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Strecker, Tanja (Tanja-Strecker@gmx.de)
	Replicates [#] (Repl) * PI: Strecker, Tanja (Tanja-Strecker@gmx.de) * COMMENT: replicates of microbial repiration and biomass
	Microbial respiration per soil dry mass [µl/h/g] (Microb resp dm) * PI: Strecker, Tanja (Tanja-Strecker@gmx.de) * COMMENT: spatial measurement, log-transformed
	Microbial respiration per soil dry mass, standard deviation [±] (Microb resp dm std dev) * PI: Strecker, Tanja (Tanja-Strecker@gmx.de) * COMMENT: spatial measurement, log-transformed
	Spatial stability (Spatial stab) * PI: Strecker, Tanja (Tanja-Strecker@gmx.de) * METHOD: Calculated * COMMENT: of basal respiration, calculated as Mean/SD
	Microbial biomass as carbon per soil dry mass [µg/g] (Microb biom C dm) * PI: Strecker, Tanja (Tanja-Strecker@gmx.de) * COMMENT: spatial measurement
	Microbial biomass as carbon per soil dry mass, standard deviation [±] (Microb biom C dm std dev) * PI: Strecker, Tanja (Tanja-Strecker@gmx.de) * COMMENT: spatial measurement
	Spatial stability (Spatial stab) * PI: Strecker, Tanja (Tanja-Strecker@gmx.de) * METHOD: Calculated * COMMENT: of microbial biomass carbon, calculated as Mean/SD
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	632 data points
*/
Experimental plot	Depth [m]	Repl [#]	Microb resp dm [µl/h/g]	Microb resp dm std dev [±]	Spatial stab (of basal respiration, calcula...)	Microb biom C dm [µg/g]	Microb biom C dm std dev [±]	Spatial stab (of microbial biomass carbon, ...)
B1A01	0.1	5	1.949	0.496	3.929	1100.195	138.026	7.971
B1A02	0.1	5	1.715	0.132	12.982	1094.343	43.233	25.313
B1A03	0.1	5	2.274	0.297	7.661	1078.131	112.044	9.622
B1A04	0.1	5	1.206	0.343	3.521	507.952	62.785	8.090
B1A05	0.1	5	1.069	0.463	2.308	438.440	104.611	4.191
B1A06	0.1	5	1.578	0.397	3.977	655.302	98.896	6.626
B1A07	0.1	5	1.688	0.391	4.314	633.999	64.099	9.891
B1A08	0.1	5	1.406	0.191	7.348	506.974	81.955	6.186
B1A11	0.1	5	1.722	0.465	3.703	653.959	124.315	5.261
B1A12	0.1	5	1.448	0.407	3.563	575.405	116.727	4.930
B1A13	0.1	5	1.413	0.321	4.401	511.155	128.081	3.991
B1A14	0.1	5	1.809	0.520	3.482	628.326	84.722	7.416
B1A15	0.1	5	1.803	0.535	3.368	704.888	181.253	3.889
B1A16	0.1	5	1.366	0.231	5.903	551.134	30.641	17.987
B1A17	0.1	5	1.232	0.289	4.261	498.100	106.640	4.671
B1A18	0.1	5	1.365	0.093	14.696	571.815	85.452	6.692
B1A19	0.1	5	1.955	0.291	6.719	650.478	102.748	6.331
B1A20	0.1	5	2.071	0.370	5.600	795.868	118.233	6.731
B1A21	0.1	5	1.918	0.391	4.910	786.994	90.787	8.669
B1A22	0.1	5	2.460	0.307	8.002	851.074	87.070	9.775
B2A01	0.1	5	1.810	0.574	3.152	602.134	101.717	5.920
B2A02	0.1	5	2.225	0.154	14.435	627.293	72.173	8.692
B2A03	0.1	5	2.577	0.349	7.391	758.399	60.407	12.555
B2A04	0.1	5	1.729	0.361	4.789	536.809	81.727	6.568
B2A05	0.1	5	1.583	0.102	15.499	527.089	45.822	11.503
B2A06	0.1	5	1.649	0.334	4.935	784.624	64.528	12.160
B2A08	0.1	5	1.959	0.443	4.422	915.823	134.281	6.820
B2A09	0.1	5	2.444	0.179	13.624	961.283	72.436	13.271
B2A10	0.1	5	2.832	0.376	7.533	891.069	43.414	20.525
B2A12	0.1	5	2.590	0.188	13.750	841.529	81.368	10.342
B2A13	0.1	5	2.344	0.596	3.931	652.931	93.918	6.952
B2A14	0.1	5	2.476	0.553	4.475	918.178	99.463	9.231
B2A15	0.1	5	1.818	0.119	15.330	554.212	58.983	9.396
B2A16	0.1	5	1.999	0.408	4.903	824.836	118.214	6.977
B2A17	0.1	5	2.015	0.319	6.307	846.308	53.384	15.853
B2A18	0.1	5	2.093	0.755	2.773	800.440	142.779	5.606
B2A19	0.1	5	1.515	0.256	5.922	835.257	116.226	7.187
B2A20	0.1	5	1.698	0.240	7.074	901.698	102.715	8.779
B2A21	0.1	5	2.098	0.339	6.179	898.948	211.112	4.258
B2A22	0.1	5	2.187	0.507	4.313	908.555	158.072	5.748
B3A01	0.1	5	1.592	0.387	4.110	698.226	137.882	5.064
B3A02	0.1	5	2.009	0.873	2.301	746.956	67.172	11.120
B3A03	0.1	5	1.992	0.415	4.802	697.849	106.500	6.553
B3A04	0.1	5	1.822	0.458	3.973	531.413	87.008	6.108
B3A05	0.1	5	2.137	0.321	6.667	852.887	109.139	7.815
B3A06	0.1	5	1.954	0.517	3.781	604.928	104.081	5.812
B3A07	0.1	5	2.112	0.543	3.889	905.447	163.453	5.540
B3A08	0.1	5	2.322	0.275	8.428	729.051	29.327	24.859
B3A09	0.1	5	2.659	0.645	4.122	893.057	186.961	4.777
B3A11	0.1	5	2.694	0.342	7.871	843.009	85.773	9.828
B3A12	0.1	5	2.285	0.313	7.305	785.285	164.732	4.767
B3A13	0.1	5	3.133	0.448	6.990	796.605	34.930	22.806
B3A14	0.1	5	2.601	0.394	6.594	862.284	170.620	5.054
B3A16	0.1	5	2.624	0.737	3.561	900.611	203.756	4.420
B3A19	0.1	5	1.646	0.320	5.143	842.992	88.480	9.527
B3A20	0.1	5	1.553	0.327	4.745	724.602	92.867	7.803
B3A21	0.1	5	1.104	0.201	5.483	697.244	92.748	7.518
B3A22	0.1	5	1.983	0.157	12.665	982.125	141.601	6.936
B3A23	0.1	5	2.656	0.749	3.543	1238.977	276.617	4.479
B3A24	0.1	5	1.906	0.149	12.790	917.768	60.967	15.053
B4A01	0.1	5	2.346	0.530	4.428	923.658	130.581	7.073
B4A02	0.1	5	2.104	0.399	5.270	827.833	63.392	13.059
B4A04	0.1	5	1.602	0.335	4.785	695.326	137.987	5.039
B4A06	0.1	5	1.678	0.391	4.289	744.797	72.071	10.334
B4A07	0.1	5	2.174	0.764	2.846	919.150	199.772	4.601
B4A08	0.1	5	1.507	0.219	6.885	588.342	84.983	6.923
B4A09	0.1	5	2.329	1.232	1.891	895.734	221.324	4.047
B4A10	0.1	5	2.008	0.406	4.943	745.216	113.150	6.586
B4A11	0.1	5	1.644	0.348	4.721	691.226	42.236	16.366
B4A12	0.1	5	1.581	0.131	12.049	514.158	25.915	19.840
