number	plotcode	block	plot	NumberSownSpecies	NumberFunctionalGroups	NumberGrassSpecies	NumberSmallHerbSpecies	NumberTallHerbSpecies	NumberLegumeSpecies	PresenceGrasses	PresenceSmallHerbs	PresenceTallHerbs	PresenceLegumes
1	B1A01	B1	A01	16	4	4	4	4	4	1	1	1	1
2	B1A02	B1	A02	8	2	4	0	4	0	1	0	1	0
3	B1A03	B1	A03	8	3	3	3	0	2	1	1	0	1
4	B1A04	B1	A04	4	4	1	1	1	1	1	1	1	1
5	B1A05	B1	A05	2	1	0	0	0	2	0	0	0	1
6	B1A06	B1	A06	16	2	8	0	8	0	1	0	1	0
7	B1A07	B1	A07	2	1	0	0	2	0	0	0	1	0
8	B1A08	B1	A08	1	1	0	0	0	1	0	0	0	1
9	B1A09	B1	A09	1	1	1	0	0	0	1	0	0	0
10	B1A11	B1	A11	16	1	0	0	16	0	0	0	1	0
11	B1A12	B1	A12	8	1	0	0	0	8	0	0	0	1
12	B1A13	B1	A13	4	1	0	0	0	4	0	0	0	1
13	B1A14	B1	A14	8	4	2	2	2	2	1	1	1	1
14	B1A15	B1	A15	1	1	0	0	1	0	0	0	1	0
15	B1A16	B1	A16	2	2	1	1	0	0	1	1	0	0
16	B1A17	B1	A17	2	2	1	0	1	0	1	0	1	0
17	B1A18	B1	A18	1	1	0	1	0	0	0	1	0	0
18	B1A19	B1	A19	4	3	2	1	1	0	1	1	1	0
19	B1A20	B1	A20	16	3	0	6	5	5	0	1	1	1
20	B1A21	B1	A21	4	2	2	0	2	0	1	0	1	0
21	B1A22	B1	A22	60	4	16	12	20	12	1	1	1	1
22	B2A01	B2	A01	4	4	1	1	1	1	1	1	1	1
23	B2A02	B2	A02	2	1	2	0	0	0	1	0	0	0
24	B2A03	B2	A03	60	4	16	12	20	12	1	1	1	1
25	B2A04	B2	A04	1	1	0	0	1	0	0	0	1	0
26	B2A05	B2	A05	1	1	1	0	0	0	1	0	0	0
27	B2A06	B2	A06	4	2	0	2	0	2	0	1	0	1
28	B2A08	B2	A08	2	2	0	0	1	1	0	0	1	1
29	B2A09	B2	A09	4	1	0	4	0	0	0	1	0	0
30	B2A10	B2	A10	16	2	8	8	0	0	1	1	0	0
31	B2A12	B2	A12	8	1	0	0	8	0	0	0	1	0
32	B2A13	B2	A13	1	1	0	1	0	0	0	1	0	0
33	B2A14	B2	A14	8	4	2	2	2	2	1	1	1	1
34	B2A15	B2	A15	1	1	0	0	0	1	0	0	0	1
35	B2A16	B2	A16	4	3	0	2	1	1	0	1	1	1
36	B2A17	B2	A17	8	2	0	4	0	4	0	1	0	1
37	B2A18	B2	A18	16	4	4	4	4	4	1	1	1	1
38	B2A19	B2	A19	2	1	0	2	0	0	0	1	0	0
39	B2A20	B2	A20	2	2	0	1	0	1	0	1	0	1
40	B2A21	B2	A21	8	3	0	2	3	3	0	1	1	1
41	B2A22	B2	A22	16	3	5	0	5	6	1	0	1	1
42	B3A01	B3	A01	1	1	0	0	1	0	0	0	1	0
43	B3A02	B3	A02	2	2	1	0	1	0	1	0	1	0
44	B3A03	B3	A03	4	3	1	1	0	2	1	1	0	1
45	B3A04	B3	A04	8	1	8	0	0	0	1	0	0	0
46	B3A05	B3	A05	8	3	3	0	2	3	1	0	1	1
47	B3A06	B3	A06	1	1	1	0	0	0	1	0	0	0
48	B3A07	B3	A07	8	4	2	2	2	2	1	1	1	1
49	B3A08	B3	A08	2	1	2	0	0	0	1	0	0	0
50	B3A09	B3	A09	16	1	16	0	0	0	1	0	0	0
51	B3A11	B3	A11	4	2	2	2	0	0	1	1	0	0
52	B3A12	B3	A12	1	1	0	0	0	1	0	0	0	1
53	B3A13	B3	A13	4	1	4	0	0	0	1	0	0	0
54	B3A14	B3	A14	60	4	16	12	20	12	1	1	1	1
55	B3A16	B3	A16	16	2	0	8	0	8	0	1	0	1
56	B3A17	B3	A17	1	1	0	1	0	0	0	1	0	0
57	B3A19	B3	A19	2	2	1	1	0	0	1	1	0	0
58	B3A20	B3	A20	8	2	0	0	4	4	0	0	1	1
59	B3A21	B3	A21	2	1	0	0	0	2	0	0	0	1
60	B3A22	B3	A22	16	4	4	4	4	4	1	1	1	1
61	B3A23	B3	A23	4	4	1	1	1	1	1	1	1	1
62	B3A24	B3	A24	16	3	6	5	0	5	1	1	0	1
63	B4A01	B4	A01	60	4	16	12	20	12	1	1	1	1
64	B4A02	B4	A02	16	3	5	5	6	0	1	1	1	0
65	B4A03	B4	A03	1	1	0	1	0	0	0	1	0	0
66	B4A04	B4	A04	4	4	1	1	1	1	1	1	1	1
67	B4A06	B4	A06	8	1	0	8	0	0	0	1	0	0
68	B4A07	B4	A07	4	2	0	0	2	2	0	0	1	1
69	B4A08	B4	A08	8	2	4	4	0	0	1	1	0	0
70	B4A09	B4	A09	1	1	0	0	0	1	0	0	0	1
71	B4A10	B4	A10	8	3	2	3	3	0	1	1	1	0
72	B4A11	B4	A11	4	3	1	0	2	1	1	0	1	1
73	B4A12	B4	A12	1	1	1	0	0	0	1	0	0	0
74	B4A13	B4	A13	1	1	0	0	1	0	0	0	1	0
75	B4A14	B4	A14	2	1	0	2	0	0	0	1	0	0
76	B4A15	B4	A15	2	2	0	1	0	1	0	1	0	1
77	B4A16	B4	A16	8	4	2	2	2	2	1	1	1	1
78	B4A17	B4	A17	2	1	0	0	2	0	0	0	1	0
79	B4A18	B4	A18	16	4	4	4	4	4	1	1	1	1
80	B4A20	B4	A20	16	2	0	0	8	8	0	0	1	1
81	B4A21	B4	A21	2	2	0	0	1	1	0	0	1	1
82	B4A22	B4	A22	4	1	0	0	4	0	0	0	1	0
