/* DATA DESCRIPTION:
Citation:	De Luca, Enrica; Weigelt, Alexandra; Schmid, Bernhard; Fischer, Markus (2016): Aboveground community and species-specific plant biomass from the Jena Experiment (Main Experiment, year 2010). PANGAEA, https://doi.org/10.1594/PANGAEA.866305, 
	In: Weigelt, Alexandra; De Luca, Enrica; Roscher, Christiane; Temperton, Vicky; Buchmann, Nina; Fischer, Markus; Scherer-Lorenzen, Michael; Schmid, Bernhard; Schulze, Ernst-Detlef; Weisser, Wolfgang; Luo, Guangjuan; Meyer, Sebastian Tobias (2016): Collection of aboveground community and species-specific plant biomass from the Jena Experiment (time series since 2002). PANGAEA, https://doi.org/10.1594/PANGAEA.866358
Abstract:	This data set contains aboveground community biomass in 2010 (Sown plant community, Weed plant community, Dead plant material, and Unidentified plant material; all measured in biomass as dry weight) and species-specific biomass from the sown species of the main experiment plots of a large grassland biodiversity experiment (the Jena Experiment; see further details below). In the main experiment, 82 grassland plots of 20 x 20 m were established from a pool of 60 species belonging to four functional groups (grasses, legumes, tall and small herbs). In May 2002, varying numbers of plant species from this species pool were sown into the plots to create a gradient of plant species richness (1, 2, 4, 8, 16 and 60 species) and functional richness (1, 2, 3, 4 functional groups). Plots were maintained by bi-annual weeding and mowing. 
	Aboveground community biomass was harvested twice in 2010 just prior to mowing (during peak standing biomass in early June and in late August) on all experimental plots of the main experiment. This was done by clipping the vegetation at 3 cm above ground in two rectangles of 0.2 x 0.5 m per large plot. The location of these rectangles was assigned prior to each harvest by random selection of coordinates within the core area of the plots (i.e. the central 10 x 15 m). The positions of the rectangles within plots were identical for all plots. The harvested biomass was sorted into categories: individual species for the sown plant species, weed plant species (species not sown at the particular plot), detached dead plant material (i.e., dead plant material in the data file), and remaining plant material that could not be assigned to any category (i.e., unidentified plant material in the data file). All biomass was dried to constant weight (70°C, >= 48 h) and weighed. Sown plant community biomass was calculated as the sum of the biomass of the individual sown species. The data for individual samples and the mean over samples for all biomass measures are given. Overall, analyses of the community biomass data have identified species richness as well as functional group composition as important drivers of a positive biodiversity-productivity relationship.
Related to:	Roscher, Christiane; Temperton, Vicky; Scherer-Lorenzen, Michael; Schmid, Bernhard; Schmitz, Martin; Schumacher, Jens; Buchmann, Nina; Weisser, Wolfgang; Schulze, Ernst-Detlef (2005): Overyielding in experimental grassland communities - irrespective of species pool or spatial scale. Ecology Letters, 8(4), 419-429, https://doi.org/10.1111/j.1461-0248.2005.00736.x
	Weigelt, Alexandra; Marquard, Elisabeth; Temperton, Vicky; Roscher, Christiane; Scherber, Christoph; Mwangi, Peter N; von Felten, Stefanie; Buchmann, Nina; Schmid, Bernhard; Schulze, Ernst-Detlef; Weisser, Wolfgang (2010): The Jena Experiment: six years of data from a grassland biodiversity experiment. Ecology, 91(3), 930-931, https://doi.org/10.1890/09-0863.1
Further details:	Plot information of the Jena Main Experiment (URI: http://store.pangaea.de/Publications/Jena_Experiment/PlotInformationMainExperiment.txt)
	Treatment description (URI: http://store.pangaea.de/Publications/Jena_Experiment/TreatmentDefinitionsJuly2012.pdf)
	Roscher, Christiane; Schumacher, Jens; Baade, Jussi; Wilcken, Sara; Gleixner, Gerd; Weisser, Wolfgang; Schmid, Bernhard; Schulze, Ernst-Detlef (2004): The role of biodiversity for element cycling and trophic interactions: an experimental approach in a grassland community. Basic and Applied Ecology, 5(2), 107-121, https://doi.org/10.1078/1439-1791-00216
Project(s):	The Jena Experiment (JenExp) (URI: http://www.the-jena-experiment.de/)
Coverage:	LATITUDE: 50.946100 * LONGITUDE: 11.611300
	DATE/TIME START: 2010-01-01T00:00:00 * DATE/TIME END: 2010-12-31T00:00:00
	MINIMUM HEIGHT above ground: 0.5 m * MAXIMUM HEIGHT above ground: 0.5 m
Event(s):	JenExp_2010 (Jena Experiment 2010) * LATITUDE: 50.946100 * LONGITUDE: 11.611300 * DATE/TIME START: 2010-01-01T00:00:00 * DATE/TIME END: 2010-12-31T00:00:00 * LOCATION: Thuringia, Germany * DEVICE: Experiment (EXP)
Comment:	The main experiment on the field site of the Jena Experiment comprises a split-plot design in which additional treatments (e.g. no weeding allowing for invasion of other species, or application of fertilizer) have been applied to subplots along the outer margin of the plots (see Treatment description in the section "further details"). While in this dataset only data from the core area (mown and weeding of all none-sown species twice a year, no additional treatments) is reported, all potential treatments are listed as the first parameters in the data file to guarantee compatibility with other datasets that include different treatments. 
	There are two types of missing values contained in the dataset. Empty cells represent missing values that result from the design of the experiment when the respective value does not occur and could thus not be measured. For example, in the columns of species-specific biomass cells are left blank, when the species was not sown into the respective plot. Missing values that resulted from methodological problems, sampling errors, or lost samples/data are marked with "-9999".
	To calculate plot and annual means from the species specific biomass given per subsample it is important to be aware of the special missing values in the data set. Plots with single missing values indicated by "-9999", result in a difference between the following means: (1) first sum up species specific biomass per subsample for all contained species to calculated a sown species community biomass per subsample and then average the values over the subsamples per plot or (2) first average species specific biomass over subplots to get an average species specific biomass per plot and then sum these averages for all contained species to get an overall plot mean. 
	This datasets is part of a collection of time series of biomass measurements in the Jena Experiment since 2002 (doi:10.1594/PANGAEA.866358). Similar data from other experiments (e.g. Main Experiment, Dominance Experiment; see details above), other years, or other methods quantifying related data might be available in this collection.
Parameter(s):	Experimental plot (Experimental plot) * COMMENT: Detailed explanations of plots and the plant diversity gradient are provided in the section "further details".
	Height above ground, minimum [m] (Height min) * COMMENT: Soil surface
	Height above ground, maximum [m] (Height max) * COMMENT: rough approximation of maximum vegetation height
	HEIGHT above ground [m] (Height) * GEOCODE * COMMENT: Average of min and max value
	Date/time start (Date/time start) * COMMENT: of sampling campaign
	Date/time end (Date/time end) * COMMENT: of sampling campaign
	Replicate (Replicate) * COMMENT: Speciefies if multiple samples per plot have been taken and are provided in the data file.
	Treatment: mowing (Treat mow) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: weeding (Treat weed) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: weeding history (Treat weed hist) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: seed addition (Treat seed add) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: fertilizing (Treat fert) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: drought (Treat drought) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: above ground: pesticide (Treat above ground pest) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: below pesticide (Treat below pest) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: molluscide (Treat mollus) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: nematicide (Treat nema) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: eartworm exclosure (Treat eartworm excl) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: phytometers (Treat phyto) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Treatment: special (Treat special) * COMMENT: Detailed explanations of treatments are provided in the section "further details".
	Alopecurus pratensis, biomass as dry weight [g/m**2] (A. pratensis biom) * COMMENT: Measured on plot level
	Anthoxanthum odoratum, biomass as dry weight [g/m**2] (A. odoratum biom) * COMMENT: Measured on plot level
	Arrhenatherum elatius, biomass as dry weight [g/m**2] (A. elatius biom) * COMMENT: Measured on plot level
	Avenula pubescens, biomass as dry weight [g/m**2] (A. pubescens biom) * COMMENT: Measured on plot level
	Bromus erectus, biomass as dry weight [g/m**2] (B. erectus biom) * COMMENT: Measured on species level
	Bromus hordeaceus, biomass as dry weight [g/m**2] (B. hordeaceus biom) * COMMENT: Measured on species level
	Cynosurus cristatus, biomass as dry weight [g/m**2] (C. cristatus biom) * COMMENT: Measured on species level
	Dactylis glomerata, biomass as dry weight [g/m**2] (D. glomerata biom) * COMMENT: Measured on species level
	Festuca pratensis, biomass as dry weight [g/m**2] (F. pratensis biom) * COMMENT: Measured on species level
	Festuca rubra, biomass as dry weight [g/m**2] (F. rubra biom) * COMMENT: Measured on species level
	Holcus lanatus, biomass as dry weight [g/m**2] (H. lanatus biom) * COMMENT: Measured on species level
	Luzula campestris, biomass as dry weight [g/m**2] (L. campestris biom) * COMMENT: Measured on species level
	Phleum pratense, biomass as dry weight [g/m**2] (P. pratense biom) * COMMENT: Measured on species level
	Poa pratensis, biomass as dry weight [g/m**2] (P. pratensis biom) * COMMENT: Measured on species level
	Poa trivialis, biomass as dry weight [g/m**2] (P. trivialis biom) * COMMENT: Measured on species level
	Trisetum flavescens, biomass as dry weight [g/m**2] (T. flavescens biom) * COMMENT: Measured on species level
	Ajuga reptans, biomass as dry weight [g/m**2] (A. reptans biom) * COMMENT: Measured on species level
	Bellis perennis, biomass as dry weight [g/m**2] (B. perennis biom) * COMMENT: Measured on species level
	Glechoma hederacea, biomass as dry weight [g/m**2] (G. hederacea biom) * COMMENT: Measured on species level
	Leontodon autumnalis, biomass as dry weight [g/m**2] (L. autumnalis biom) * COMMENT: Measured on species level
	Leontodon hispidus, biomass as dry weight [g/m**2] (L. hispidus biom) * COMMENT: Measured on species level
	Plantago lanceolata, biomass as dry weight [g/m**2] (P. lanceolata biom) * COMMENT: Measured on species level
	Plantago media, biomass as dry weight [g/m**2] (P. media biom) * COMMENT: Measured on species level
	Primula veris, biomass as dry weight [g/m**2] (P. veris biom) * COMMENT: Measured on species level
	Prunella vulgaris, biomass as dry weight [g/m**2] (P. vulgaris biom) * COMMENT: Measured on species level
	Ranunculus repens, biomass as dry weight [g/m**2] (R. repens biom) * COMMENT: Measured on species level
	Taraxacum officinale, biomass as dry weight [g/m**2] (T. officinale biom) * COMMENT: Measured on species level
	Veronica chamaedrys, biomass as dry weight [g/m**2] (V. chamaedrys biom) * COMMENT: Measured on species level
	Achillea millefolium, biomass as dry weight [g/m**2] (A. millefolium biom) * COMMENT: Measured on species level
	Anthriscus sylvestris, biomass as dry weight [g/m**2] (A. sylvestris biom) * COMMENT: Measured on species level
	Campanula patula, biomass as dry weight [g/m**2] (C. patula biom) * COMMENT: Measured on species level
	Carum carvi, biomass as dry weight [g/m**2] (C. carvi biom) * COMMENT: Measured on species level
	Cardamine pratensis, biomass as dry weight [g/m**2] (C. pratensis biom) * COMMENT: Measured on species level
	Centaurea jacea, biomass as dry weight [g/m**2] (C. jacea biom) * COMMENT: Measured on species level
	Cirsium oleraceum, biomass as dry weight [g/m**2] (C. oleraceum biom) * COMMENT: Measured on species level
	Crepis biennis, biomass as dry weight [g/m**2] (C. biennis biom) * COMMENT: Measured on species level
	Daucus carota, biomass as dry weight [g/m**2] (D. carota biom) * COMMENT: Measured on species level
	Galium mollugo, biomass as dry weight [g/m**2] (G. mollugo biom) * COMMENT: Measured on species level
	Geranium pratense, biomass as dry weight [g/m**2] (G. pratense biom) * COMMENT: Measured on species level
	Heracleum sphondylium, biomass as dry weight [g/m**2] (H. sphondylium biom) * COMMENT: Measured on species level
	Knautia arvensis, biomass as dry weight [g/m**2] (K. arvensis biom) * COMMENT: Measured on species level
	Leucanthemum vulgare, biomass as dry weight [g/m**2] (L. vulgare biom) * COMMENT: Measured on species level
	Pastinaca sativa, biomass as dry weight [g/m**2] (P. sativa biom) * COMMENT: Measured on species level
	Pimpinella major, biomass as dry weight [g/m**2] (P. major biom) * COMMENT: Measured on species level
	Ranunculus acris, biomass as dry weight [g/m**2] (R. acris biom) * COMMENT: Measured on species level
	Rumex acetosa, biomass as dry weight [g/m**2] (R. acetosa biom) * COMMENT: Measured on species level
	Sanguisorba officinalis, biomass as dry weight [g/m**2] (S. officinalis biom) * COMMENT: Measured on species level
	Tragopogon pratensis, biomass as dry weight [g/m**2] (T. pratensis biom) * COMMENT: Measured on species level
	Lathyrus pratensis, biomass as dry weight [g/m**2] (L. pratensis biom) * COMMENT: Measured on species level
	Lotus corniculatus, biomass as dry weight [g/m**2] (L. corniculatus biom) * COMMENT: Measured on species level
	Medicago lupulina, biomass as dry weight [g/m**2] (M. lupulina biom) * COMMENT: Measured on species level
	Medicago x varia, biomass as dry weight [g/m**2] (M. x varia biom) * COMMENT: Measured on species level
	Onobrychis viciifolia, biomass as dry weight [g/m**2] (O. viciifolia biom) * COMMENT: Measured on species level
	Trifolium campestre, biomass as dry weight [g/m**2] (T. campestre biom) * COMMENT: Measured on species level
	Trifolium dubium, biomass as dry weight [g/m**2] (T. dubium biom) * COMMENT: Measured on species level
	Trifolium fragiferum, biomass as dry weight [g/m**2] (T. fragiferum biom) * COMMENT: Measured on species level
	Trifolium hybridum, biomass as dry weight [g/m**2] (T. hybridum biom) * COMMENT: Measured on species level
	Trifolium pratense, biomass as dry weight [g/m**2] (T. pratense biom) * COMMENT: Measured on species level
	Trifolium repens, biomass as dry weight [g/m**2] (T. repens biom) * COMMENT: Measured on species level
	Vicia cracca, biomass as dry weight [g/m**2] (V. cracca biom) * COMMENT: Measured on species level
	Unidentified plant material, biomass as dry weight [g/m**2] (Unid plant mat biom) * COMMENT: Measured on species level
	Dead plant material, biomass as dry weight [g/m**2] (Dead plant mat biom) * COMMENT: Measured on species level
	Weeds plant community, biomass as dry weight [g/m**2] (Weeds biom) * COMMENT: Measured on species level
	Sown plant community, biomass as dry weight [g/m**2] (Sown plant biom) * COMMENT: Measured on species level
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	15528 data points
*/
Experimental plot	Height min [m]	Height max [m]	Height [m]	Date/time start	Date/time end	Replicate	Treat mow	Treat weed	Treat weed hist	Treat seed add	Treat fert	Treat drought	Treat above ground pest	Treat below pest	Treat mollus	Treat nema	Treat eartworm excl	Treat phyto	Treat special	A. pratensis biom [g/m**2]	A. odoratum biom [g/m**2]	A. elatius biom [g/m**2]	A. pubescens biom [g/m**2]	B. erectus biom [g/m**2]	B. hordeaceus biom [g/m**2]	C. cristatus biom [g/m**2]	D. glomerata biom [g/m**2]	F. pratensis biom [g/m**2]	F. rubra biom [g/m**2]	H. lanatus biom [g/m**2]	L. campestris biom [g/m**2]	P. pratense biom [g/m**2]	P. pratensis biom [g/m**2]	P. trivialis biom [g/m**2]	T. flavescens biom [g/m**2]	A. reptans biom [g/m**2]	B. perennis biom [g/m**2]	G. hederacea biom [g/m**2]	L. autumnalis biom [g/m**2]	L. hispidus biom [g/m**2]	P. lanceolata biom [g/m**2]	P. media biom [g/m**2]	P. veris biom [g/m**2]	P. vulgaris biom [g/m**2]	R. repens biom [g/m**2]	T. officinale biom [g/m**2]	V. chamaedrys biom [g/m**2]	A. millefolium biom [g/m**2]	A. sylvestris biom [g/m**2]	C. patula biom [g/m**2]	C. carvi biom [g/m**2]	C. pratensis biom [g/m**2]	C. jacea biom [g/m**2]	C. oleraceum biom [g/m**2]	C. biennis biom [g/m**2]	D. carota biom [g/m**2]	G. mollugo biom [g/m**2]	G. pratense biom [g/m**2]	H. sphondylium biom [g/m**2]	K. arvensis biom [g/m**2]	L. vulgare biom [g/m**2]	P. sativa biom [g/m**2]	P. major biom [g/m**2]	R. acris biom [g/m**2]	R. acetosa biom [g/m**2]	S. officinalis biom [g/m**2]	T. pratensis biom [g/m**2]	L. pratensis biom [g/m**2]	L. corniculatus biom [g/m**2]	M. lupulina biom [g/m**2]	M. x varia biom [g/m**2]	O. viciifolia biom [g/m**2]	T. campestre biom [g/m**2]	T. dubium biom [g/m**2]	T. fragiferum biom [g/m**2]	T. hybridum biom [g/m**2]	T. pratense biom [g/m**2]	T. repens biom [g/m**2]	V. cracca biom [g/m**2]	Unid plant mat biom [g/m**2]	Dead plant mat biom [g/m**2]	Weeds biom [g/m**2]	Sown plant biom [g/m**2]
B1A01	0	1	0.5	2010-05-31	2010-06-03	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0		9.90		0.00		2.16								3.12			0.00					30.00				0.00	0.13			0.00			0.00						55.00									0.00	12.00	28.00				0.00						3.12	0.00	0.00	19.00	143.43
B1A01	0	1	0.5	2010-05-31	2010-06-03	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0		0.00		0.00		7.00								3.00			0.00					204.00				0.72	0.00			0.00			0.00						3.00									0.00	13.00	13.00				0.00						2.00	0.00	3.46	11.00	245.72
B1A01	0	1	0.5	2010-05-31	2010-06-03	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0		4.95		0.00		4.58								3.06			0.00					117.00				0.36	0.06			0.00			0.00						29.00									0.00	12.50	20.50				0.00						2.56	0.00	1.73	15.00	194.57
B1A01	0	1	0.5	2010-08-23	2010-08-27	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0		0.17		3.29		0.00								1.39			0.00					52.00				0.00	3.00			0.00			0.00						116.00									0.00	3.20	12.00				0.00						10.00	0.27	26.00	24.00	201.05
B1A01	0	1	0.5	2010-08-23	2010-08-27	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0		0.00		1.14		0.00								2.14			0.99					54.00				3.00	8.00			0.00			0.00						47.00									0.00	0.70	41.00				0.00						0.00	1.26	20.00	28.00	157.97
B1A01	0	1	0.5	2010-08-23	2010-08-27	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0		0.08		2.21		0.00								1.76			0.50					53.00				1.50	5.50			0.00			0.00						81.50									0.00	1.95	26.50				0.00						5.00	0.77	23.00	26.00	179.51
B1A02	0	1	0.5	2010-05-31	2010-06-03	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	5.00				7.00					3.00			0.00																			0								27.00					1.11		0.00														0.00	0.19	147.00	43.11
B1A02	0	1	0.5	2010-05-31	2010-06-03	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	0.71				2.06					0.68			0.00																			0								28.00					7.00		0.00														0.00	0.00	94.00	38.45
B1A02	0	1	0.5	2010-05-31	2010-06-03	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	2.86				4.53					1.84			0.00																			0								27.50					4.05		0.00														0.00	0.10	120.50	40.78
B1A02	0	1	0.5	2010-08-23	2010-08-27	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	49.00				19.00					0.08			1.53																			0								3.19					4.00		0.00														0.05	17.00	40.50	76.80
B1A02	0	1	0.5	2010-08-23	2010-08-27	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	1.72				150.00					5.20			0.00																			0								1.53					2.82		15.00														0.00	37.00	11.00	176.27
B1A02	0	1	0.5	2010-08-23	2010-08-27	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	25.36				84.50					2.64			0.76																			0								2.36					3.41		7.50														0.02	27.00	25.75	126.53
B1A03	0	1	0.5	2010-05-31	2010-06-03	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0							0						1.03			66.00			2.47					15.00				14.00																						30.00	0.00										0.00	1.49	93.00	128.50
B1A03	0	1	0.5	2010-05-31	2010-06-03	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0							0						0.00			20.00			3.13					21.00				3.00																						23.00	0.00										2.84	0.33	99.00	70.13
B1A03	0	1	0.5	2010-05-31	2010-06-03	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0							0						0.52			43.00			2.80					18.00				8.50																						26.50	0.00										1.42	0.91	96.00	99.31
B1A03	0	1	0.5	2010-08-23	2010-08-27	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0							0						10.20			49.00			25.00					0.00				19.00																						113.00	0.00										2.50	9.45	28.00	216.20
B1A03	0	1	0.5	2010-08-23	2010-08-27	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0							0						0.00			99.00			6.42					19.00				4.76																						33.00	0.00										0.00	40.00	34.00	162.18
B1A03	0	1	0.5	2010-08-23	2010-08-27	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0							0						5.10			74.00			15.71					9.50				11.88																						73.00	0.00										1.25	24.73	31.00	189.19
B1A04	0	1	0.5	2010-05-31	2010-06-03	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0									0.00													201.00									0.00																						0.00								0.00	0.00	33.00	201.00
B1A04	0	1	0.5	2010-05-31	2010-06-03	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0									40.00													111.00									0.00																						0.00								0.00	0.55	51.00	151.00
B1A04	0	1	0.5	2010-05-31	2010-06-03	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0									20.00													156.00									0.00																						0.00								0.00	0.28	42.00	176.00
B1A04	0	1	0.5	2010-08-23	2010-08-27	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0									0.00													83.00									0.00																						0.00								0.00	18.95	17.00	83.00
B1A04	0	1	0.5	2010-08-23	2010-08-27	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0									1.03													194.00									0.00																						0.00								0.00	8.00	14.00	195.03
B1A04	0	1	0.5	2010-08-23	2010-08-27	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0									0.52													138.50									0.00																						0.00								0.00	13.47	15.50	139.01
B1A05	0	1	0.5	2010-05-31	2010-06-03	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0																																																			0.00		104.00								0.00	0.00	66.00	104.00
B1A05	0	1	0.5	2010-05-31	2010-06-03	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0																																																			0.42		40.00								0.00	0.00	15.00	40.42
B1A05	0	1	0.5	2010-05-31	2010-06-03	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0																																																			0.21		72.00								0.00	0.00	40.50	72.21
B1A05	0	1	0.5	2010-08-23	2010-08-27	1	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0																																																			0.00		427.00								0.00	11.12	108.00	427.00
B1A05	0	1	0.5	2010-08-23	2010-08-27	2	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0																																																			0.00		0.00								0.00	0.55	127.00	0.00
B1A05	0	1	0.5	2010-08-23	2010-08-27	mean	mown2	weededALL	AAAAA.AAAA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0																																																			0.00		213.50								0.00	5.84	117.50	213.50
