Year	Sampling #	plot	Ring	CO2 Treatment	Nitrogen Treatment	CountOfSpecies	CountOfGroup	Experiment	monospecies	Monogroup	Water Treatment 	Temp Treatment 	pH
1999	2	1	1	Cenrich	Namb	4	2	M					5.4
1999	2	2	1	Cenrich	Namb	1	1	M	Bouteloua gracilis	C-4			6.1
1999	2	3	1	Cenrich	Nenrich	4	1	S		Legume			6
1999	2	4	1	Cenrich	Namb	4	3	M					5.7
1999	2	5	1	Cenrich	Namb	1	1	M	Asclepias tuberosa	Forb			6
1999	2	6	1	Cenrich	Namb	4	1	S		C-4			6
1999	2	7	1	Cenrich	Namb	9	4	M					5.4
1999	2	8	1	Cenrich	Nenrich	1	1	M	Schizachyrium scoparium	C-4			6.2
1999	2	9	1	Cenrich	Namb	4	1	S		C-3			5
1999	2	10	1	Cenrich	Nenrich	4	3	M					5.2
1999	2	11	1	Cenrich	Nenrich	9	4	M					5.1
1999	2	12	1	Cenrich	Nenrich	9	4	M					5.4
1999	2	13	1	Cenrich	Nenrich	16	4	M					5.2
1999	2	14	1	Cenrich	Namb	4	4	S					5.4
1999	2	15	1	Cenrich	Namb	4	3	M					5.3
1999	2	16	1	Cenrich	Namb	9	4	M					5.3
1999	2	17	1	Cenrich	Namb	9	4	M					5
1999	2	18	1	Cenrich	Nenrich	1	1	M	Amorpha canescens	Legume			5.9
1999	2	19	1	Cenrich	Namb	4	3	M					4.9
1999	2	20	1	Cenrich	Nenrich	4	1	S		Forb			5.5
1999	2	21	1	Cenrich	Nenrich	9	4	M					5.2
1999	2	22	1	Cenrich	Nenrich	1	1	M	Bromus inermis	C-3			5.4
1999	2	23	1	Cenrich	Namb	16	4	M					5.6
1999	2	24	1	Cenrich	Namb	1	1	M	Agropyron repens	C-3			5.1
1999	2	25	1	Cenrich	Nenrich	0	1	M					6.1
1999	2	26	1	Cenrich	Namb	9	4	M					5.3
1999	2	27	1	Cenrich	Namb	4	1	S		Forb			5.1
1999	2	28	1	Cenrich	Namb	4	2	M					5.4
1999	2	29	1	Cenrich	Nenrich	4	2	M					6.2
1999	2	30	1	Cenrich	Nenrich	16	4	M					5.5
1999	2	31	1	Cenrich	Nenrich	1	1	M	Asclepias tuberosa	Forb			5.8
1999	2	32	1	Cenrich	Nenrich	1	1	M	Bouteloua gracilis	C-4			6.5
1999	2	33	1	Cenrich	Namb	16	4	M					5.1
1999	2	34	1	Cenrich	Nenrich	9	4	M					5.6
1999	2	35	1	Cenrich	Namb	1	1	M	Lespedeza capitata	Legume			5.9
1999	2	36	1	Cenrich	Nenrich	1	1	M	Agropyron repens	C-3			5.5
1999	2	37	1	Cenrich	Nenrich	1	1	M	Petalostemum villosum	Legume			6
1999	2	38	1	Cenrich	Nenrich	4	2	M					6.5
1999	2	39	1	Cenrich	Namb	1	1	M	Bromus inermis	C-3			5.2
1999	2	40	1	Cenrich	Namb	1	1	M	Poa pratensis	C-3			5.5
1999	2	41	1	Cenrich	Nenrich	4	1	S		C-3			5.1
1999	2	42	1	Cenrich	Namb	1	1	M	Solidago rigida	Forb			5.3
1999	2	43	1	Cenrich	Nenrich	16	4	M					5.3
1999	2	44	1	Cenrich	Nenrich	4	3	M					5.4
1999	2	45	1	Cenrich	Namb	16	4	M					5
1999	2	46	1	Cenrich	Namb	1	1	M	Anemone cylindrica	Forb			4.9
1999	2	47	1	Cenrich	Nenrich	1	1	M	Koeleria cristata	C-3			5.1
1999	2	48	1	Cenrich	Namb	9	4	M					5.4
1999	2	49	1	Cenrich	Nenrich	1	1	M	Achillea millefolium	Forb			5.3
1999	2	50	1	Cenrich	Nenrich	9	4	M					5.6
1999	2	51	1	Cenrich	Namb	16	4	M					5.5
1999	2	52	1	Cenrich	Nenrich	16	4	M					5.6
1999	2	53	1	Cenrich	Nenrich	1	1	M	Solidago rigida	Forb			5.5
1999	2	54	1	Cenrich	Nenrich	4	1	S		C-4			6.2
1999	2	55	1	Cenrich	Namb	1	1	M	Lupinus perennis	Legume			6.1
1999	2	56	1	Cenrich	Namb	4	1	S		Legume			6.3
1999	2	57	1	Cenrich	Namb	1	1	M	Schizachyrium scoparium	C-4			5.8
1999	2	58	1	Cenrich	Nenrich	4	3	M					5.5
1999	2	59	1	Cenrich	Nenrich	4	4	S					5.5
1999	2	60	1	Cenrich	Nenrich	1	1	M	Andropogon gerardi	C-4			6.1
1999	2	61	1	Cenrich	Namb	0	1	M					6
1999	2	62	2	Camb	Namb	4	4	S					4.9
1999	2	63	2	Camb	Namb	4	3	M					5.3
1999	2	64	2	Camb	Nenrich	16	4	M					5.2
1999	2	65	2	Camb	Nenrich	9	4	M					5.2
1999	2	66	2	Camb	Nenrich	9	4	M					5.4
1999	2	67	2	Camb	Namb	16	4	M					5.6
1999	2	68	2	Camb	Nenrich	1	1	M	Schizachyrium scoparium	C-4			5.8
1999	2	69	2	Camb	Namb	16	4	M					4.9
1999	2	70	2	Camb	Namb	1	1	M	Andropogon gerardi	C-4			5.8
1999	2	71	2	Camb	Nenrich	1	1	M	Sorghastrum nutans	C-4			5.6
1999	2	72	2	Camb	Nenrich	1	1	M	Petalostemum villosum	Legume			5.9
1999	2	73	2	Camb	Nenrich	0	1	M					6.1
1999	2	74	2	Camb	Nenrich	4	1	S		Legume			6
1999	2	75	2	Camb	Nenrich	4	3	M					6.1
1999	2	76	2	Camb	Nenrich	4	1	S		C-4			6.4
1999	2	77	2	Camb	Namb	1	1	M	Anemone cylindrica	Forb			5.4
1999	2	78	2	Camb	Namb	4	2	M					5.7
1999	2	79	2	Camb	Nenrich	4	3	M					5.2
1999	2	80	2	Camb	Namb	4	1	S		C-3			5.2
1999	2	81	2	Camb	Nenrich	1	1	M	Bouteloua gracilis	C-4			6.2
1999	2	82	2	Camb	Namb	4	3	M					5.5
1999	2	83	2	Camb	Namb	9	4	M					5.3
1999	2	84	2	Camb	Nenrich	9	4	M					5.8
1999	2	85	2	Camb	Nenrich	4	2	S					6.3
1999	2	86	2	Camb	Nenrich	4	3	M					5.1
1999	2	87	2	Camb	Namb	9	4	M					6
1999	2	88	2	Camb	Nenrich	4	4	S					5
1999	2	89	2	Camb	Namb	4	1	S		Forb			5.3
1999	2	90	2	Camb	Namb	1	1	M	Sorghastrum nutans	C-4			5.8
1999	2	91	2	Camb	Nenrich	4	3	M					6
1999	2	92	2	Camb	Namb	9	4	M					5.5
1999	2	93	2	Camb	Namb	4	1	S		Legume			6.1
1999	2	94	2	Camb	Nenrich	1	1	M	Asclepias tuberosa	Forb			5
1999	2	95	2	Camb	Nenrich	4	1	S		Forb			5
1999	2	96	2	Camb	Nenrich	1	1	M	Lupinus perennis	Legume			5.9
1999	2	97	2	Camb	Nenrich	9	4	M					5.1
1999	2	98	2	Camb	Nenrich	4	1	S		C-3			5
1999	2	99	2	Camb	Nenrich	1	1	M	Solidago rigida	Forb			6
1999	2	100	2	Camb	Namb	1	1	M	Lupinus perennis	Legume			6.3
1999	2	101	2	Camb	Nenrich	1	1	M	Andropogon gerardi	C-4			6.2
1999	2	102	2	Camb	Namb	1	1	M	Petalostemum villosum	Legume			5.9
1999	2	103	2	Camb	Nenrich	1	1	M	Bromus inermis	C-3			5.3
1999	2	104	2	Camb	Namb	16	4	M					5.7
1999	2	105	2	Camb	Namb	4	1	S		C-4			6
1999	2	106	2	Camb	Namb	9	4	M					6
1999	2	107	2	Camb	Namb	16	4	M					5.4
1999	2	108	2	Camb	Nenrich	16	4	M					5.4
1999	2	109	2	Camb	Namb	1	1	M	Bromus inermis	C-3			5.1
1999	2	110	2	Camb	Nenrich	16	4	M					5.4
1999	2	111	2	Camb	Namb	1	1	M	Agropyron repens	C-3			5.3
1999	2	112	2	Camb	Nenrich	1	1	M	Agropyron repens	C-3			5.3
1999	2	113	2	Camb	Nenrich	1	1	M	Poa pratensis	C-3			5.9
1999	2	114	2	Camb	Nenrich	4	3	M					5.3
1999	2	115	2	Camb	Namb	1	1	M	Poa pratensis	C-3			5.5
1999	2	116	2	Camb	Namb	1	1	M	Lespedeza capitata	Legume			6.1
1999	2	117	2	Camb	Nenrich	9	3	M					5.3
1999	2	118	2	Camb	Nenrich	16	4	M					5.8
1999	2	119	2	Camb	Namb	9	4	M					5.3
1999	2	120	2	Camb	Namb	4	3	M					5.4
1999	2	121	2	Camb	Namb	4	2	M					5.6
1999	2	122	2	Camb	Namb	1	1	M	Koeleria cristata	C-3			5.4
1999	2	123	3	Cenrich	Nenrich	1	1	M	Sorghastrum nutans	C-4			5.6
1999	2	124	3	Cenrich	Nenrich	4	1	S		C-4			6.1
1999	2	125	3	Cenrich	Nenrich	4	2	M					4.7
1999	2	126	3	Cenrich	Namb	1	1	M	Sorghastrum nutans	C-4			6
1999	2	127	3	Cenrich	Nenrich	4	2	M					5.8
1999	2	128	3	Cenrich	Namb	9	4	M					5.1
1999	2	129	3	Cenrich	Namb	4	3	M					5.3
1999	2	130	3	Cenrich	Nenrich	16	4	M					5.8
1999	2	131	3	Cenrich	Namb	9	4	M					5.7
1999	2	132	3	Cenrich	Nenrich	1	1	M	Schizachyrium scoparium	C-4			5.9
1999	2	133	3	Cenrich	Namb	9	4	M					5.4
1999	2	134	3	Cenrich	Namb	1	1	M	Koeleria cristata	C-3			6.1
1999	2	135	3	Cenrich	Namb	1	1	M	Lupinus perennis	Legume			6.1
1999	2	136	3	Cenrich	Nenrich	4	1	S		Forb			5.1
1999	2	137	3	Cenrich	Nenrich	1	1	M	Lespedeza capitata	Legume			6
1999	2	138	3	Cenrich	Namb	1	1	M	Poa pratensis	C-3			5
1999	2	139	3	Cenrich	Namb	1	1	M	Petalostemum villosum	Legume			5.2
1999	2	140	3	Cenrich	Namb	1	1	M	Andropogon gerardi	C-4			6.2
1999	2	141	3	Cenrich	Nenrich	1	1	M	Lupinus perennis	Legume			6.4
1999	2	142	3	Cenrich	Nenrich	1	1	M	Anemone cylindrica	Forb			5.6
1999	2	143	3	Cenrich	Nenrich	1	1	M	Solidago rigida	Forb			5.5
1999	2	144	3	Cenrich	Nenrich	1	1	M	Agropyron repens	C-3			5.6
1999	2	145	3	Cenrich	Namb	1	1	M	Agropyron repens	C-3			5.7
1999	2	146	3	Cenrich	Namb	1	1	M	Anemone cylindrica	Forb			5.7
1999	2	147	3	Cenrich	Namb	16	4	M					4.9
1999	2	148	3	Cenrich	Namb	4	3	M					5.7
1999	2	149	3	Cenrich	Nenrich	9	4	M					6.2
1999	2	150	3	Cenrich	Namb	4	1	S		Legume			6.2
1999	2	151	3	Cenrich	Nenrich	16	4	M					5.5
1999	2	152	3	Cenrich	Namb	4	1	S		C-4			6.1
1999	2	153	3	Cenrich	Namb	1	1	M	Solidago rigida	Forb			5.3
1999	2	154	3	Cenrich	Nenrich	4	4	S					5.5
1999	2	155	3	Cenrich	Namb	4	4	S					5.5
1999	2	156	3	Cenrich	Namb	4	2	M					5
1999	2	157	3	Cenrich	Namb	4	1	S		C-3			5.1
1999	2	158	3	Cenrich	Nenrich	1	1	M	Amorpha canescens	Legume			5.9
1999	2	159	3	Cenrich	Namb	1	1	M	Achillea millefolium	Forb			5
1999	2	160	3	Cenrich	Nenrich	1	1	M	Asclepias tuberosa	Forb			5.9
1999	2	161	3	Cenrich	Nenrich	9	4	M					5.6
1999	2	162	3	Cenrich	Nenrich	4	3	M					5.4
1999	2	163	3	Cenrich	Namb	16	4	M					5.5
1999	2	164	3	Cenrich	Namb	4	4	M					4.9
1999	2	165	3	Cenrich	Nenrich	9	3	M					5.4
1999	2	166	3	Cenrich	Nenrich	9	4	M					5.9
1999	2	167	3	Cenrich	Nenrich	4	3	M					5.6
1999	2	168	3	Cenrich	Nenrich	4	1	S		C-3			5.2
1999	2	169	3	Cenrich	Namb	1	1	M	Amorpha canescens	Legume			6
1999	2	170	3	Cenrich	Namb	9	4	M					5.1
1999	2	171	3	Cenrich	Nenrich	9	4	M					5.5
1999	2	172	3	Cenrich	Namb	4	1	S		Forb			4.9
1999	2	173	3	Cenrich	Namb	16	4	M					4.9
1999	2	174	3	Cenrich	Nenrich	1	1	M	Bromus inermis	C-3			6.3
1999	2	175	3	Cenrich	Nenrich	16	4	M					5.1
