Date,Plot,Depth,Ring,CO2 Treatment,Nitrogen Treatment,CountOfSpecies,CountOfGroup,Experiment,monospecies,Monogroup,Bulk Density (g/cm^3)
7/7/2003,1,20-40,1,Cenrich,Namb,4,2,M,,,1.479897252
7/7/2003,1,40-60,1,Cenrich,Namb,4,2,M,,,1.551437543
7/7/2003,2,40-60,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,1.653320784
7/7/2003,2,20-40,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,1.80552892
7/7/2003,3,20-40,1,Cenrich,Nenrich,4,1,S,,Legume,1.717953737
7/7/2003,3,40-60,1,Cenrich,Nenrich,4,1,S,,Legume,1.165860046
7/7/2003,4,40-60,1,Cenrich,Namb,4,3,M,,,1.612123445
7/7/2003,4,20-40,1,Cenrich,Namb,4,3,M,,,1.770005465
7/7/2003,5,20-40,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,1.740155896
7/7/2003,5,40-60,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,1.58794776
7/7/2003,6,20-40,1,Cenrich,Namb,4,1,S,,C-4,1.547490492
7/7/2003,6,40-60,1,Cenrich,Namb,4,1,S,,C-4,1.62174438
7/7/2003,7,20-40,1,Cenrich,Namb,9,4,M,,,1.591894811
7/7/2003,7,40-60,1,Cenrich,Namb,9,4,M,,,1.675029562
7/7/2003,8,40-60,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,1.628651719
7/7/2003,8,20-40,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,1.789247336
7/7/2003,9,20-40,1,Cenrich,Namb,4,1,S,,C-3,1.65924136
7/7/2003,9,40-60,1,Cenrich,Namb,4,1,S,,C-3,1.6027492
7/7/2003,10,40-60,1,Cenrich,Nenrich,4,3,M,,,1.701918844
7/7/2003,10,20-40,1,Cenrich,Nenrich,4,3,M,,,1.787027121
7/7/2003,11,20-40,1,Cenrich,Nenrich,9,4,M,,,1.751503666
7/7/2003,11,40-60,1,Cenrich,Nenrich,9,4,M,,,1.671575893
7/7/2003,12,20-40,1,Cenrich,Nenrich,9,4,M,,,0.891293344
7/7/2003,12,40-60,1,Cenrich,Nenrich,9,4,M,,,1.603982653
7/7/2003,13,40-60,1,Cenrich,Nenrich,16,4,M,,,1.596581933
7/7/2003,13,20-40,1,Cenrich,Nenrich,16,4,M,,,1.356551924
7/7/2003,14,20-40,1,Cenrich,Namb,4,4,S,,,1.772472372
7/7/2003,14,40-60,1,Cenrich,Namb,4,4,S,,,1.463122288
7/7/2003,15,40-60,1,Cenrich,Namb,4,3,M,,,1.717213665
7/7/2003,15,20-40,1,Cenrich,Namb,4,3,M,,,1.634572294
7/7/2003,16,20-40,1,Cenrich,Namb,9,4,M,,,1.627664956
7/7/2003,16,40-60,1,Cenrich,Namb,9,4,M,,,1.487051281
7/7/2003,17,20-40,1,Cenrich,Namb,9,4,M,,,1.459915309
7/7/2003,17,40-60,1,Cenrich,Namb,9,4,M,,,1.616317186
7/7/2003,18,40-60,1,Cenrich,Nenrich,1,1,M,Amorpha canescens,Legume,1.508266678
