Exp,Season,year,Plot,Depth,NH4
141,June,1998,1,0-20,0
141,June,1998,1,40-60,0
141,June,1998,2,0-20,0
141,June,1998,2,40-60,0
141,June,1998,3,0-20,0
141,June,1998,3,40-60,0
141,June,1998,4,0-20,1.0659
141,June,1998,4,40-60,0.4645
141,June,1998,5,0-20,0
141,June,1998,5,40-60,0
141,June,1998,6,0-20,0
141,June,1998,6,40-60,0
141,June,1998,7,0-20,0
141,June,1998,7,40-60,0
141,June,1998,8,0-20,0.0059
141,June,1998,8,40-60,0
141,June,1998,9,0-20,0
141,June,1998,9,40-60,0
141,June,1998,10,0-20,0
141,June,1998,10,40-60,0
141,June,1998,11,0-20,0
141,June,1998,11,40-60,0
141,June,1998,12,0-20,0
141,June,1998,12,40-60,0
141,June,1998,13,0-20,0
141,June,1998,13,40-60,0
141,June,1998,14,0-20,0
141,June,1998,14,40-60,0
141,June,1998,15,0-20,0
141,June,1998,15,40-60,0
141,June,1998,16,0-20,0
141,June,1998,16,40-60,0
141,June,1998,17,0-20,0
141,June,1998,17,40-60,0
141,June,1998,18,0-20,0.1524
141,June,1998,18,40-60,0
141,June,1998,19,0-20,0
141,June,1998,19,40-60,0
141,June,1998,20,0-20,0
141,June,1998,20,40-60,0
141,June,1998,21,0-20,0
141,June,1998,21,40-60,0
141,June,1998,22,0-20,0
141,June,1998,22,40-60,0
141,June,1998,23,0-20,0
141,June,1998,23,40-60,0
141,June,1998,24,0-20,0
141,June,1998,24,40-60,0
141,June,1998,25,0-20,0
141,June,1998,25,40-60,1.0125
141,June,1998,26,0-20,0
141,June,1998,26,40-60,0
141,June,1998,27,0-20,0
141,June,1998,27,40-60,0
141,June,1998,28,0-20,0
141,June,1998,28,40-60,0
141,June,1998,29,0-20,0
141,June,1998,29,40-60,0
141,June,1998,30,0-20,0
141,June,1998,30,40-60,0
141,June,1998,31,0-20,0
141,June,1998,31,40-60,0
141,June,1998,32,0-20,0
141,June,1998,32,40-60,0
141,June,1998,33,0-20,0
141,June,1998,33,40-60,0
141,June,1998,34,0-20,0
141,June,1998,34,40-60,0
141,June,1998,35,0-20,0
141,June,1998,35,40-60,0
141,June,1998,36,0-20,0
141,June,1998,36,40-60,0
141,June,1998,37,0-20,0.0975
141,June,1998,37,40-60,0.366
141,June,1998,38,0-20,0
141,June,1998,38,40-60,0
141,June,1998,39,0-20,0
141,June,1998,39,40-60,0
141,June,1998,40,0-20,0
141,June,1998,40,40-60,0
141,June,1998,41,0-20,0
141,June,1998,41,40-60,0
141,June,1998,42,0-20,0
141,June,1998,42,40-60,0
141,June,1998,43,0-20,0
141,June,1998,43,40-60,0
141,June,1998,44,0-20,0
141,June,1998,44,40-60,0
141,June,1998,45,0-20,0
141,June,1998,45,40-60,0
141,June,1998,46,0-20,0
141,June,1998,46,40-60,0
141,June,1998,47,0-20,0
141,June,1998,47,40-60,0
141,June,1998,48,0-20,0
141,June,1998,48,40-60,0
141,June,1998,49,0-20,0
141,June,1998,49,40-60,0
141,June,1998,50,0-20,0
141,June,1998,50,40-60,0
141,June,1998,51,0-20,0
141,June,1998,51,40-60,0
141,June,1998,52,0-20,0
141,June,1998,52,40-60,0
141,June,1998,53,0-20,0
141,June,1998,53,40-60,0
141,June,1998,54,0-20,0
141,June,1998,54,40-60,0
141,June,1998,55,0-20,0
141,June,1998,55,40-60,0
141,June,1998,56,0-20,0
141,June,1998,56,40-60,0
141,June,1998,57,0-20,0
141,June,1998,57,40-60,0.6548
141,June,1998,58,0-20,0
141,June,1998,58,40-60,0
141,June,1998,59,0-20,0
141,June,1998,59,40-60,0
141,June,1998,60,0-20,0
141,June,1998,60,40-60,6.1027
141,June,1998,61,0-20,0.5209
141,June,1998,61,40-60,3.5007
141,June,1998,62,0-20,0
141,June,1998,62,40-60,0
141,June,1998,63,0-20,0
141,June,1998,63,40-60,0
141,June,1998,64,0-20,0
141,June,1998,64,40-60,0
141,June,1998,65,0-20,0
141,June,1998,65,40-60,0
141,June,1998,66,0-20,0
141,June,1998,66,40-60,0
141,June,1998,67,0-20,0
141,June,1998,67,40-60,0
141,June,1998,68,0-20,0.1722
141,June,1998,68,40-60,0
141,June,1998,69,0-20,0
141,June,1998,69,40-60,0
141,June,1998,70,0-20,0
141,June,1998,70,40-60,0.2912
141,June,1998,71,0-20,0
141,June,1998,71,40-60,0
141,June,1998,72,0-20,0.1221
141,June,1998,72,40-60,0.0432
141,June,1998,73,0-20,0.1394
141,June,1998,73,40-60,0.5171
141,June,1998,74,0-20,0
141,June,1998,74,40-60,0
141,June,1998,75,0-20,0
141,June,1998,75,40-60,0.1574
141,June,1998,76,0-20,0
141,June,1998,76,40-60,0
141,June,1998,77,0-20,0
141,June,1998,77,40-60,0
141,June,1998,78,0-20,0
141,June,1998,78,40-60,0
141,June,1998,79,0-20,0
141,June,1998,79,40-60,0
141,June,1998,80,0-20,0
141,June,1998,80,40-60,0
141,June,1998,81,0-20,0
141,June,1998,81,40-60,0.3473
141,June,1998,82,0-20,0
141,June,1998,82,40-60,0
141,June,1998,83,0-20,0
141,June,1998,83,40-60,0
141,June,1998,84,0-20,0
141,June,1998,84,40-60,0
141,June,1998,85,0-20,0
141,June,1998,85,40-60,0
141,June,1998,86,0-20,0
141,June,1998,86,40-60,0
141,June,1998,87,0-20,0
141,June,1998,87,40-60,0
141,June,1998,88,0-20,0
141,June,1998,88,40-60,0
141,June,1998,89,0-20,0
141,June,1998,89,40-60,0
141,June,1998,90,0-20,0
141,June,1998,90,40-60,0.0086
141,June,1998,91,0-20,0
141,June,1998,91,40-60,0
141,June,1998,92,0-20,0
141,June,1998,92,40-60,0
141,June,1998,93,0-20,0.9087
141,June,1998,93,40-60,0.4199
141,June,1998,94,0-20,0.603
141,June,1998,94,40-60,0.3472
141,June,1998,95,0-20,0
141,June,1998,95,40-60,0
141,June,1998,96,0-20,0.1349
