Year,Sampling #,plot,Ring,CO2 Treatment,Nitrogen Treatment,CountOfSpecies,CountOfGroup,Experiment,monospecies,Monogroup,Water Treatment,Temp Treatment,Nitrification (mg/kg-1/m-1),Ammonification (mg kg-1 ~m-1),Net N mineralization (mg kg-1 ~m-1),Incubation length (days),Nitrification (mg kg-1 d-1),Ammonification (mg kg-1 d-1),Net N mineralization (mg kg-1 d-1),Notes
1998,1,1,1,Cenrich,Namb,4,2,M,,,,,0,-0.3433,-0.3433,38,0,-0.009034211,-0.009034211,
1998,1,2,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,,,18.703,-0.1445,18.5585,38,0.492184211,-0.003802632,0.488381579,
1998,1,3,1,Cenrich,Nenrich,4,1,S,,Legume,,,-7.4472,-3.2237,-10.6709,38,-0.195978947,-0.084834211,-0.280813158,
1998,1,4,1,Cenrich,Namb,4,3,M,,,,,5.6676,-1.4345,4.2331,38,0.149147368,-0.03775,0.111397368,
1998,1,5,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,,,10.7411,-0.6557,10.0854,38,0.282660526,-0.017255263,0.265405263,
1998,1,6,1,Cenrich,Namb,4,1,S,,C-4,,,4.4001,-1.5102,2.8899,38,0.115792105,-0.039742105,0.07605,
1998,1,7,1,Cenrich,Namb,9,4,M,,,H2Oneg,HTamb,1.9506,0.7263,2.6769,38,0.051331579,0.019113158,0.070444737,
1998,1,8,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,3.5178,-1.626,1.8918,38,0.092573684,-0.042789474,0.049784211,
1998,1,9,1,Cenrich,Namb,4,1,S,,C-3,,,0.0913,-0.2815,-0.1902,38,0.002402632,-0.007407895,-0.005005263,
1998,1,10,1,Cenrich,Nenrich,4,3,M,,,,,0.0386,0.2783,0.3169,38,0.001015789,0.007323684,0.008339474,
1998,1,11,1,Cenrich,Nenrich,9,4,M,,,H2Oamb,HTelv,0.1733,1.21,1.3833,38,0.004560526,0.031842105,0.036402632,
1998,1,12,1,Cenrich,Nenrich,9,4,M,,,,,0.0102,0.292,0.3022,38,0.000268421,0.007684211,0.007952632,
1998,1,13,1,Cenrich,Nenrich,16,4,M,,,,,-0.8247,-0.9453,-1.77,38,-0.021702632,-0.024876316,-0.046578947,
1998,1,14,1,Cenrich,Namb,4,4,S,,,,,0.1406,0.4576,0.5982,38,0.0037,0.012042105,0.015742105,
1998,1,15,1,Cenrich,Namb,4,3,M,,,,,0.3075,0.7954,1.1029,38,0.008092105,0.020931579,0.029023684,
1998,1,16,1,Cenrich,Namb,9,4,M,,,,,0.0127,0.6206,0.6333,38,0.000334211,0.016331579,0.016665789,
1998,1,17,1,Cenrich,Namb,9,4,M,,,H2Oneg,HTelv,-0.0095,-0.3281,-0.3376,38,-0.00025,-0.008634211,-0.008884211,
1998,1,18,1,Cenrich,Nenrich,1,1,M,Amorpha canescens,Legume,,,10.1836,-1.447,8.7366,38,0.267989474,-0.038078947,0.229910526,
1998,1,19,1,Cenrich,Namb,4,3,M,,,,,0.0093,-0.9334,-0.9241,38,0.000244737,-0.024563158,-0.024318421,
1998,1,20,1,Cenrich,Nenrich,4,1,S,,Forb,,,0.0088,-0.3148,-0.306,38,0.000231579,-0.008284211,-0.008052632,
1998,1,21,1,Cenrich,Nenrich,9,4,M,,,H2Oamb,HTamb,0.1215,0.0882,0.2097,38,0.003197368,0.002321053,0.005518421,
1998,1,22,1,Cenrich,Nenrich,1,1,M,Bromus inermis,C-3,,,-0.0014,0.2944,0.293,38,-3.68E-05,0.007747368,0.007710526,
1998,1,23,1,Cenrich,Namb,16,4,M,,,,,0.0709,0.5202,0.5911,38,0.001865789,0.013689474,0.015555263,
1998,1,24,1,Cenrich,Namb,1,1,M,Agropyron repens,C-3,,,0.0031,-0.0692,-0.0661,38,8.16E-05,-0.001821053,-0.001739474,
1998,1,25,1,Cenrich,Nenrich,0,1,M,,,,,5.832,0.3111,6.1431,38,0.153473684,0.008186842,0.161660526,
1998,1,26,1,Cenrich,Namb,9,4,M,,,H2Oamb,HTamb,-0.0063,0.3363,0.33,38,-0.000165789,0.00885,0.008684211,
1998,1,27,1,Cenrich,Namb,4,1,S,,Forb,,,0.0077,0.1554,0.1631,38,0.000202632,0.004089474,0.004292105,
1998,1,28,1,Cenrich,Namb,4,2,M,,,,,7.8099,1.4019,9.2118,38,0.205523684,0.036892105,0.242415789,
1998,1,29,1,Cenrich,Nenrich,4,2,M,,,,,4.612,0.7925,5.4045,38,0.121368421,0.020855263,0.142223684,
1998,1,30,1,Cenrich,Nenrich,16,4,M,,,,,0.1035,0.6516,0.7551,38,0.002723684,0.017147368,0.019871053,
1998,1,31,1,Cenrich,Nenrich,1,1,M,Asclepias tuberosa,Forb,,,3.1023,0.001,3.1033,38,0.081639474,2.63E-05,0.081665789,
1998,1,32,1,Cenrich,Nenrich,1,1,M,Bouteloua gracilis,C-4,,,5.0703,0.7274,5.7977,38,0.133428947,0.019142105,0.152571053,
1998,1,33,1,Cenrich,Namb,16,4,M,,,,,0.5626,0.863,1.4256,38,0.014805263,0.022710526,0.037515789,
1998,1,34,1,Cenrich,Nenrich,9,4,M,,,H2Oneg,HTelv,0.0579,1.5234,1.5813,38,0.001523684,0.040089474,0.041613158,
1998,1,35,1,Cenrich,Namb,1,1,M,Lespedeza capitata,Legume,,,0.5889,-0.3886,0.2003,38,0.015497368,-0.010226316,0.005271053,
1998,1,36,1,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,,,0.7999,0.0171,0.817,38,0.02105,0.00045,0.0215,
1998,1,37,1,Cenrich,Nenrich,1,1,M,Petalostemum villosum,Legume,,,4.3935,-0.3768,4.0167,38,0.115618421,-0.009915789,0.105702632,
1998,1,38,1,Cenrich,Nenrich,4,2,M,,,,,1.399,-1.0443,0.3547,38,0.036815789,-0.027481579,0.009334211,
1998,1,39,1,Cenrich,Namb,1,1,M,Bromus inermis,C-3,,,0,-0.0786,-0.0786,38,0,-0.002068421,-0.002068421,
1998,1,40,1,Cenrich,Namb,1,1,M,Poa pratensis,C-3,,,4.2614,0.2982,4.5596,38,0.112142105,0.007847368,0.119989474,
