538_Reich_et_al-2016-mre141_Nitrogen_mineralization_rate,Date,Plot,Ring,CO2 Treatment,Nitrogen Treatment,CountOfSpecies,CountOfGroup,Experiment,monospecies,Monogroup,Water Treatment ,Temp Treatment ,Depth,Sub Sample,Mass (g/m2)
1,6/22/1998,1,1,Cenrich,Namb,4,2,M,,,,,0-20,Coarse,161.25
1,6/22/1998,1,1,Cenrich,Namb,4,2,M,,,,,0-20,Crowns,0
1,6/22/1998,1,1,Cenrich,Namb,4,2,M,,,,,0-20,Fine,1530.26
1,6/22/1998,2,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,,,0-20,Coarse,0
1,6/22/1998,2,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,,,0-20,Crowns,26.33
1,6/22/1998,2,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,,,0-20,Fine,19.75
1,6/22/1998,2,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,,,0-20,Fine,64.17
1,6/22/1998,2,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,,,0-20,Fine,464.01
1,6/22/1998,3,1,Cenrich,Nenrich,4,1,S,,Legume,,,0-20,Coarse,26.33
1,6/22/1998,3,1,Cenrich,Nenrich,4,1,S,,Legume,,,0-20,Crowns,8.23
1,6/22/1998,3,1,Cenrich,Nenrich,4,1,S,,Legume,,,0-20,Fine,391.61
1,6/22/1998,4,1,Cenrich,Namb,4,3,M,,,,,0-20,Coarse,325.8
1,6/22/1998,4,1,Cenrich,Namb,4,3,M,,,,,0-20,Crowns,8.23
1,6/22/1998,4,1,Cenrich,Namb,4,3,M,,,,,0-20,Fine,908.28
1,6/22/1998,5,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,,,0-20,Coarse,0
1,6/22/1998,5,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,,,0-20,Crowns,0
1,6/22/1998,5,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,,,0-20,Fine,19.75
1,6/22/1998,5,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,,,0-20,Fine,42.78
1,6/22/1998,5,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,,,0-20,Fine,82.27
1,6/22/1998,6,1,Cenrich,Namb,4,1,S,,C-4,,,0-20,Coarse,9.87
1,6/22/1998,6,1,Cenrich,Namb,4,1,S,,C-4,,,0-20,Crowns,172.77
1,6/22/1998,6,1,Cenrich,Namb,4,1,S,,C-4,,,0-20,Fine,380.1
1,6/22/1998,7,1,Cenrich,Namb,9,4,M,,,,,0-20,Coarse,393.26
1,6/22/1998,7,1,Cenrich,Namb,9,4,M,,,,,0-20,Crowns,0
1,6/22/1998,7,1,Cenrich,Namb,9,4,M,,,,,0-20,Fine,572.61
1,6/22/1998,8,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Coarse,27.97
1,6/22/1998,8,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Crowns,11.52
1,6/22/1998,8,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Fine,14.81
1,6/22/1998,8,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Fine,47.72
1,6/22/1998,8,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Fine,235.3
1,6/22/1998,9,1,Cenrich,Namb,4,1,S,,C-3,,,0-20,Coarse,271.5
1,6/22/1998,9,1,Cenrich,Namb,4,1,S,,C-3,,,0-20,Crowns,44.43
1,6/22/1998,9,1,Cenrich,Namb,4,1,S,,C-3,,,0-20,Fine,928.03
1,6/22/1998,10,1,Cenrich,Nenrich,4,3,M,,,,,0-20,Coarse,202.39
1,6/22/1998,10,1,Cenrich,Nenrich,4,3,M,,,,,0-20,Crowns,77.34
1,6/22/1998,10,1,Cenrich,Nenrich,4,3,M,,,,,0-20,Fine,1543.42
1,6/22/1998,11,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Coarse,87.21
