Experiment;Block;Plot;FD;Tree species;Total earthworms;;;;Anecics;;;;Epigeics;;;;Endogeics;;;;;;;;;;;;;;;;
;;;;;Density ;;BiomPts;;Density ;;BiomPts;;Density;;BiomPts;;Density ;;BiomPts;;;;;;;;;;;;;;
;;;;;Mean;STD;Mean;STD;Mean ;STD;Mean;STD;Mean;STD;Mean;STD;Mean ;STD;Mean;STD;;;;;;;;;;;;;
BIOTREE-FD;A;01;2.378;Aps Bp Ps St;62.67;30.29;15.75;5.71;10.67;6.11;7.17;5.54;4.00;4.00;1.35;2.06;48.00;24.33;7.23;3.18;;;;;;;;;;;;;
BIOTREE-FD;A;02;1.754;Bp Fs Qp Ug;70.67;12.86;30.44;26.21;9.33;12.86;17.60;27.49;10.67;10.07;2.29;2.16;50.67;16.65;10.55;1.69;;;;;;;;;;;;;
BIOTREE-FD;A;03;1.266;Apl Qp Tc Ug;53.33;31.07;17.49;19.53;4.00;6.93;5.49;9.51;1.33;2.31;1.49;2.59;48.00;22.27;10.51;7.61;;;;;;;;;;;;;
BIOTREE-FD;A;04;1.974;Ac Fe Ps Pt;70.67;6.11;31.17;22.30;8.00;8.00;17.59;26.15;21.33;14.05;6.59;6.06;41.33;14.05;7.00;4.23;;;;;;;;;;;;;
BIOTREE-FD;A;05;2.378;Aps Cb Ld Pa;40.00;28.84;19.51;15.57;9.33;8.33;13.05;13.79;5.33;6.11;0.89;1.34;25.33;18.90;5.56;3.66;;;;;;;;;;;;;
BIOTREE-FD;A;06;1.328;Ac Apl Aps Sa;30.67;20.13;16.88;21.87;6.67;8.33;13.79;21.23;1.33;2.31;0.04;0.07;22.67;14.05;3.05;1.64;;;;;;;;;;;;;
BIOTREE-FD;A;07;1.908;Apl Fe Pa St;48.00;28.84;40.77;14.48;16.00;6.93;35.25;12.60;4.00;6.93;1.11;1.92;28.00;17.44;4.41;4.16;;;;;;;;;;;;;
BIOTREE-FD;B;08;2.075;Ac Apl Fe Tc;98.67;24.11;20.51;11.03;12.00;10.58;8.29;9.04;17.33;2.31;1.52;0.80;69.33;26.63;10.69;1.38;;;;;;;;;;;;;
BIOTREE-FD;B;09;1.463;Ac Sa St Ug;60.00;22.27;16.45;15.73;4.00;6.93;6.89;11.94;0.00;0.00;0.00;0.00;56.00;17.44;9.56;6.03;;;;;;;;;;;;;
BIOTREE-FD;B;10;1.726;Apl Fs Sa Ug;48.00;17.44;14.87;2.56;4.00;6.93;3.52;6.10;12.00;4.00;4.80;3.50;32.00;18.33;6.55;2.27;;;;;;;;;;;;;
BIOTREE-FD;B;11;1.775;Apl Aps Pt Sa;38.67;16.65;7.05;4.84;2.67;4.62;0.60;1.04;13.33;6.11;0.99;0.51;22.67;15.14;5.47;5.13;;;;;;;;;;;;;
BIOTREE-FD;B;12;1.726;Apl Cb Tc Ug;54.67;14.05;10.48;3.78;1.33;2.31;1.64;2.84;17.33;16.17;2.89;2.53;36.00;12.00;5.95;3.28;;;;;;;;;;;;;
BIOTREE-FD;B;13;1.911;Bp Fs Sa St;48.00;6.93;37.52;15.83;10.67;4.62;31.89;16.72;6.67;2.31;1.01;0.75;30.67;8.33;4.61;1.11;;;;;;;;;;;;;
BIOTREE-FD;B;14;1.754;Qp Sa Tc Ug;46.67;22.03;37.07;4.68;18.67;10.07;33.23;4.30;6.67;6.11;0.39;0.40;21.33;11.55;3.45;1.77;;;;;;;;;;;;;
BIOTREE-FD;C;15;1.775;Bp Ps Pt Pa;104.00;18.33;46.83;14.26;17.33;2.31;29.52;14.17;21.33;14.05;1.75;1.85;65.33;16.17;15.56;3.13;;;;;;;;;;;;;
BIOTREE-FD;C;16;1.925;Apl Cb Pt Ug;64.00;21.17;20.67;18.70;12.00;13.86;11.83;15.05;8.00;6.93;1.80;2.22;44.00;10.58;7.04;1.46;;;;;;;;;;;;;
BIOTREE-FD;C;17;2.075;Bp Cb Pa Tc;45.33;8.33;18.31;10.07;2.67;2.31;6.79;6.03;5.33;9.24;3.31;5.73;37.33;6.11;8.21;0.72;;;;;;;;;;;;;
BIOTREE-FD;C;18;2.378;Bp Ld Qp St;38.67;12.86;9.39;3.48;0.00;0.00;0.00;0.00;6.67;6.11;1.93;1.90;32.00;6.93;7.45;1.76;;;;;;;;;;;;;
BIOTREE-FD;C;19;1.472;Pt Pa Sa St;70.67;8.33;14.93;0.44;1.33;2.31;0.08;0.14;18.67;15.14;6.53;3.83;50.67;20.53;8.32;3.42;;;;;;;;;;;;;
BIOTREE-FD;C;20;NA;Cb Fe Ps Qp;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;
BIOTREE-FD;C;21;1.454;Apl Aps Bp Qp;90.67;28.10;52.47;25.91;26.67;10.07;42.43;22.50;6.67;8.33;0.53;0.64;57.33;16.65;9.51;3.34;;;;;;;;;;;;;
BIOTREE-FD;D;22;2.378;Ac Fe Ld Tc;36.00;18.33;13.49;12.53;1.33;2.31;1.92;3.33;2.67;4.62;0.49;0.85;32.00;17.44;11.08;9.60;;;;;;;;;;;;;
BIOTREE-FD;D;23;2.378;Bp Cb Ld Ug;18.67;6.11;10.00;4.72;2.67;2.31;6.95;6.20;4.00;4.00;1.19;1.29;12.00;10.58;1.87;1.80;;;;;;;;;;;;;
BIOTREE-FD;D;24;1.503;Cb Fe Sa St;42.67;2.31;7.96;3.48;0.00;0.00;0.00;0.00;5.33;6.11;1.73;2.41;37.33;6.11;6.23;2.33;;;;;;;;;;;;;
BIOTREE-FD;D;25;2.378;Cb Ps Qp Fe;93.33;36.07;26.08;10.71;2.67;2.31;4.63;5.12;30.67;16.65;10.57;7.41;60.00;18.33;10.88;1.29;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Species abbrevations:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer campestre;Ac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Apl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Aps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betula pendula;Bp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
