Experiment;Block;Plot;Evenness;Proportions of tree species (Fs:Qp:Pa:Pm);Total earthworms;;;;Anecics;;;;Epigeics;;;;Endogeics;;;;;;;;;;;;
;;;;;Density;;Biomass;;Density;;Biomass;;Density;;Biomass;;Density;;Biomass;;;;;;;;;;
;;;;;Mean;STD;Mean;STD;Mean ;STD;Mean;STD;Mean;STD;Mean;STD;Mean ;STD;Mean;STD;;;;;;;;;
BIOTREE-SIMPLEX;1;01;0.947730922;10:30:30:30;36.00;17.44;8.63;5.80;0.00;0.00;0.00;0.00;5.33;4.62;0.97;0.85;30.67;19.73;7.65;6.34;;;;;;;;;
BIOTREE-SIMPLEX;1;02;0.947730922;30:30:30:10;30.67;20.53;7.05;5.02;0.00;0.00;0.00;0.00;9.33;6.11;1.80;0.90;21.33;15.14;5.25;4.34;;;;;;;;;
BIOTREE-SIMPLEX;1;04;0.678389825;10:10:10:70;18.67;16.65;5.64;4.95;0.00;0.00;0.00;0.00;8.00;6.93;3.87;3.46;10.67;10.07;1.77;1.54;;;;;;;;;
BIOTREE-SIMPLEX;1;08;0.678389825;10:70:10:10;36.00;24.98;7.96;6.19;0.00;0.00;0.00;0.00;21.33;4.62;5.52;2.64;14.67;22.03;2.44;3.56;;;;;;;;;
BIOTREE-SIMPLEX;1;11;0.678389825;10:10:70:10;8.00;4.00;1.00;1.24;0.00;0.00;0.00;0.00;1.33;2.31;0.01;0.02;6.67;6.11;0.99;1.26;;;;;;;;;
BIOTREE-SIMPLEX;1;12;0.678389825;70:10:10:10;33.33;16.17;4.01;0.77;1.33;2.31;0.32;0.55;0.00;0.00;0.00;0.00;32.00;13.86;3.69;1.01;;;;;;;;;
BIOTREE-SIMPLEX;1;15;1;25:25:25:25;49.33;44.06;10.41;7.08;0.00;0.00;0.00;0.00;10.67;6.11;2.96;2.49;38.67;39.26;7.45;5.66;;;;;;;;;
BIOTREE-SIMPLEX;1;17;0.947730922;30:30:10:30;34.67;8.33;8.96;3.46;0.00;0.00;0.00;0.00;14.67;11.55;4.57;3.77;20.00;4.00;4.39;0.38;;;;;;;;;
BIOTREE-SIMPLEX;1;18;0.947730922;30:10:30:30;26.67;23.44;6.12;7.14;1.33;2.31;0.93;1.62;2.67;4.62;2.20;3.81;22.67;19.73;2.99;2.59;;;;;;;;;
BIOTREE-SIMPLEX;2;19;1;25:25:25:25;68.00;21.17;18.68;6.36;2.67;4.62;4.25;7.37;6.67;8.33;1.09;1.24;58.67;15.14;13.33;2.55;;;;;;;;;
BIOTREE-SIMPLEX;2;21;0.947730922;30:10:30:30;22.67;12.86;5.55;4.08;0.00;0.00;0.00;0.00;4.00;6.93;1.41;2.45;18.67;12.22;4.13;3.64;;;;;;;;;
BIOTREE-SIMPLEX;2;26;0.947730922;10:30:30:30;17.33;16.17;2.29;2.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.33;16.17;2.29;2.73;;;;;;;;;
BIOTREE-SIMPLEX;2;30;0.678389825;10:70:10:10;74.67;18.48;16.84;6.02;0.00;0.00;0.00;0.00;17.33;6.11;5.27;4.12;57.33;12.86;11.57;2.80;;;;;;;;;
BIOTREE-SIMPLEX;2;32;0.678389825;70:10:10:10;8.00;10.58;2.79;3.62;0.00;0.00;0.00;0.00;4.00;4.00;1.49;1.50;4.00;6.93;1.29;2.24;;;;;;;;;
BIOTREE-SIMPLEX;2;33;0.947730922;30:30.30:10;24.00;4.00;4.37;1.16;0.00;0.00;0.00;0.00;6.67;2.31;2.39;1.36;17.33;4.62;1.99;0.37;;;;;;;;;
BIOTREE-SIMPLEX;2;34;0.947730922;30:30:10:30;80.00;18.33;7.97;3.57;0.00;0.00;0.00;0.00;18.67;6.11;2.92;0.89;61.33;14.05;5.05;3.21;;;;;;;;;
BIOTREE-SIMPLEX;2;35;0.678389825;10:10:70:10;17.33;19.73;3.81;5.15;0.00;0.00;0.00;0.00;6.67;8.33;1.47;2.04;10.67;11.55;2.35;3.13;;;;;;;;;
BIOTREE-SIMPLEX;2;36;0.678389825;10:10:10:70;40.00;17.44;13.12;9.28;0.00;0.00;0.00;0.00;2.67;4.62;0.83;1.43;37.33;15.14;12.29;8.92;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Species abbrevations:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fagus sylvatica;Fs;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quercus petraea;Qp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Picea abies;Pa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pseudotsuga menziesii;Pm;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
