Experiment;Block;Plot;Species richness;Tree species;Total earthworms;;Anecics;;Epigeics;;Endogeicss;
;;;;;Density;Biomass;Density;Biomass;Density ;Biomass;Density;Biomass
Kreinitz experiment;A;01;2;Bu Ki;12;26.72;0;0;92;31.8;104;58.52
Kreinitz experiment;A;02;2;Ki Fi;4;2.08;0;0;0;0;4;2.08
Kreinitz experiment;A;03;5;Li Bu Ei Ki Fi;16;5.88;4;0.12;24;8.04;44;14.04
Kreinitz experiment;A;04;2;Es Li;12;22.04;0;0;8;2.6;20;24.64
Kreinitz experiment;A;05;2;Li Ei;36;58.2;16;0.56;40;16.48;92;75.24
Kreinitz experiment;A;06;3;Es Li Ei;16;19.96;0;0;24;9.92;40;29.88
Kreinitz experiment;A;07;5;Es Li Bu Ki Fi;4;8.2;4;0.2;8;3.72;16;12.12
Kreinitz experiment;A;08;3;Bu Ei Ki;24;6.4;4;0.2;24;8.12;52;14.72
Kreinitz experiment;A;09;3;Es Ei Ki;8;4.12;12;0.76;16;13.32;36;18.2
Kreinitz experiment;A;10;2;Es Fi;4;1.24;8;0.32;0;0.56;12;2.12
Kreinitz experiment;A;11;6;Es Li Bu Ei Ki Fi;28;28.88;4;0.2;4;1.72;36;30.8
Kreinitz experiment;A;12;1;Ei;8;7.76;8;0.76;24;13.28;40;21.8
Kreinitz experiment;A;13;0;null;NA;NA;NA;NA;NA;NA;NA;NA
Kreinitz experiment;A;14;3;Es Li Ki;20;23.08;0;0;20;9.16;40;32.24
Kreinitz experiment;A;15;3;Es Ki Fi;0;0;0;0;32;16.4;32;16.4
Kreinitz experiment;A;16;2;Li Ki;12;24.32;0;0;4;2.48;16;26.8
Kreinitz experiment;A;17;5;Es Li Ei Ki Fi;4;1.08;16;0.56;8;1.12;28;2.76
Kreinitz experiment;A;18;1;Li;8;2.36;56;2.48;8;0.8;72;5.64
Kreinitz experiment;A;19;2;Li Fi;12;16.08;12;0.52;4;1.36;28;17.96
Kreinitz experiment;A;20;2;Bu Ei;16;10.6;16;0.76;24;1.16;56;12.52
Kreinitz experiment;A;21;1;Fi;4;8.44;8;0.24;0;0;12;8.68
Kreinitz experiment;A;22;2;Ei Fi;8;4.68;8;0.36;24;13.32;40;18.36
Kreinitz experiment;A;23;2;Es Ei;20;35.16;0;0;16;8.32;36;43.48
Kreinitz experiment;A;24;3;Es Bu Fi;0;0;0;0;12;2.92;12;2.92
Kreinitz experiment;A;25;3;Es Ei Fi;0;0;32;1.24;32;13.24;64;14.48
Kreinitz experiment;A;26;3;Li Ei Ki;0;0;8;0.24;20;6.96;28;7.2
Kreinitz experiment;A;27;1;Bu;4;6.12;20;0.96;32;2.84;56;9.92
Kreinitz experiment;A;28;3;Li Ei Fi;4;3.6;4;0.16;16;1.48;24;5.24
