#  Litter decomposition data published in Seidelmann et al.,,,,,,
#  Dataset owners: Katrin N. Seidelmann, Michael Scherer-Lorenzen , Pascal A. Niklaus,,,,
#  Contributions of Katherina A. Pietsch to microclimate data,,,,,,
#  Basic plot level data presenting the experimental design of the BEF-China experiment were obtained from the cited ,,,,,,
#  datasets prepared by Helge Bruelheide, Karsten Schmidt, Karin Nadrowski, Gunnar Seidler,,,
#,,,,,,
#  Column description:,,,,,,
#  site: experimental site (A or B),,,,,,
#  plot: experimental plot (A/C32...),,,,,,
#  subplot: subplot (S1, S2 or S3),,,,,
#  litter_sp: litter species (Schima superba (Schi), Pinus massoniana (Pin) or Osmanthus fragrans (Osm)),,,,,
#  subplot_k: decomposition rate constant k per day (0.001546549, ....),,,,,
#  plot_div: number of tree species planted (0,1,2,4,8,16, 24)
#  plot_composition: tree species mixture at the plot level (CaHe|NySi),,,,,,
#  subplot_shape: subplot  microrelief (linear scale ranging from 1 [strongly concave] to 5 [strongly convex]),,,,,,
#  subplot_GRA_NS: subplot north-south gradient,,,,,,
#  subplot_GRA_EW: subplot east-west gradient,,,,,,
#  subplot_div: number of tree species around subplot position (0-4),,,,,,
#  mean_tree_height: mean height of trees around subplot position [m],,,,,,
#  subplot_composition: tree species mixture around subplot position (CaHe/NySi, ...),,,,,
#  soil_moist_mean: mean annual soil moisture [cm3/cm3],,,,,,
#  air_temp_mean: mean annual air temperature [°C],,,,,,
#  air_temp_ampl: mean daily air temperature amplitude [°C],,,,,,
#  air_temp_ampl_ann: mean annual air temperature amplitude [°C],,,,,,
#  air_hum_mean: mean annual air humidity [%];,,,,,,
#  plot_GRA_NS: plot north-south gradient,,,,,,
#  plot_GRA_EW: plot east-west gradient,,,,,,
#  plot_altitude [m],,,,,,
#  plot_potential_solar_radiation [kWh/m²],,,,,,
#,,,,,,
#,,,,,,
site;plot;subplot;litter_sp;subplot_k;plot_div;plot_composition;subplot_shape;subplot_GRA_NS;subplot_GRA_EW;subplot_div;mean_tree_height;subplot_composition;soil_moist_mean;air_temp_mean; air_temp_ampl; air_temp_ampl_ann; air_hum_mean;GRA_NS_plot;GRA_EW_plot;plot_altitude;plot_potential_solar_radiation,,,,,,
A;C32;S3;Schi;4.79054835;2;CaHe|NySi;3;-0.676348545;0.181227046;2;5.5;CaHe/NySi;NA;NA;NA;NA;NA;-0.448499464;-0.172162814;140.38;1426155.49,,,,,,
A;C32;S1;Schi;4.63948945;2;CaHe|NySi;3;-0.896977735;-0.078475383;2;4.75;CaHe/NySi;NA;NA;NA;NA;NA;-0.448499464;-0.172162814;140.38;1426155.49,,,,,,
A;C32;S3;Pin;4.6026865;2;CaHe|NySi;3;-0.676348545;0.181227046;2;5.5;CaHe/NySi;NA;NA;NA;NA;NA;-0.448499464;-0.172162814;140.38;1426155.49,,,,,,
A;C32;S3;Osm;5.64490385;2;CaHe|NySi;3;-0.676348545;0.181227046;2;5.5;CaHe/NySi;NA;NA;NA;NA;NA;-0.448499464;-0.172162814;140.38;1426155.49,,,,,,
A;C32;S2;Pin;3.0362963;2;CaHe|NySi;5;-1.464308183;-0.231923632;2;4;CaHe/NySi;18.89;17.61193124;11.15869672;22.77452083;83.77695731;-0.448499464;-0.172162814;140.38;1426155.49,,,,,,
A;C32;S1;Osm;4.9202657;2;CaHe|NySi;3;-0.896977735;-0.078475383;2;4.75;CaHe/NySi;NA;NA;NA;NA;NA;-0.448499464;-0.172162814;140.38;1426155.49,,,,,,
A;C32;S2;Osm;4.23273345;2;CaHe|NySi;5;-1.464308183;-0.231923632;2;4;CaHe/NySi;18.89;17.61193124;11.15869672;22.77452083;83.77695731;-0.448499464;-0.172162814;140.38;1426155.49,,,,,,
A;C32;S2;Schi;3.07869835;2;CaHe|NySi;5;-1.464308183;-0.231923632;2;4;CaHe/NySi;18.89;17.61193124;11.15869672;22.77452083;83.77695731;-0.448499464;-0.172162814;140.38;1426155.49,,,,,,
A;C32;S1;Pin;3.7276647;2;CaHe|NySi;3;-0.896977735;-0.078475383;2;4.75;CaHe/NySi;NA;NA;NA;NA;NA;-0.448499464;-0.172162814;140.38;1426155.49,,,,,,
A;E23;S1;Schi;4.8173211;2;RhCh|ScSu;3;-0.117127175;0.664261217;2;4.5;ScSu/RhCh;NA;NA;NA;NA;NA;-0.516592507;-0.375326426;187.38;1289221.67,,,,,,
