Country,ID_Plot,Species,tree.id,P_Species_richness,P_Sha_st_focsp,P_Sha_ind_focsp,P_Compo,FxnGr,MPD,sq.MPD,Latitude,mildew,m.healthy,m.total,spots,s.healthy,s.total,rust.current,cast.current,healthy.current,ndl.tot.current,OtherFungi,OtherFungi.healthy,OtherFungi.total,damage.foliage,healthy.foliage,total.foliage
Finland,FIN01,PICABI,FIN01_41,2,0.59701194,0.781552046,PaPs,Conifer,129.973603,11.40059661,62.55,0,0,0,0,0,0,2,0,18,20,0,0,0,2,18,20
Finland,FIN01,PICABI,FIN01_58,2,0.59701194,0.781552046,PaPs,Conifer,129.973603,11.40059661,62.55,0,0,0,0,0,0,4,0,16,20,0,0,0,4,16,20
Finland,FIN01,PICABI,FIN01_3,2,0.59701194,0.781552046,PaPs,Conifer,129.973603,11.40059661,62.55,0,0,0,0,0,0,4,0,16,20,0,0,0,4,16,20
Finland,FIN01,PINSYL,FIN01_28,2,0.59701194,0.781552046,PaPs,Conifer,129.973603,11.40059661,62.55,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN01,PINSYL,FIN01_67,2,0.59701194,0.781552046,PaPs,Conifer,129.973603,11.40059661,62.55,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN01,PINSYL,FIN01_52,2,0.59701194,0.781552046,PaPs,Conifer,129.973603,11.40059661,62.55,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN02,BETPEN,FIN02_10,2,0.750429709,0.867037147,BpPa,Broadleaved,650.000004,25.49509765,62.5,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN02,BETPEN,FIN02_43,2,0.750429709,0.867037147,BpPa,Broadleaved,650.000004,25.49509765,62.5,0,0,0,48,2,50,0,0,0,0,0,50,50,48,2,50
Finland,FIN02,BETPEN,FIN02_39,2,0.750429709,0.867037147,BpPa,Broadleaved,650.000004,25.49509765,62.5,0,0,0,49,1,50,0,0,0,0,0,50,50,49,1,50
Finland,FIN02,PICABI,FIN02_18,2,0.750429709,0.867037147,BpPa,Conifer,650.000004,25.49509765,62.5,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN02,PICABI,FIN02_37,2,0.750429709,0.867037147,BpPa,Conifer,650.000004,25.49509765,62.5,0,0,0,0,0,0,5,0,15,20,0,0,0,5,15,20
Finland,FIN02,PICABI,FIN02_17,2,0.750429709,0.867037147,BpPa,Conifer,650.000004,25.49509765,62.5,0,0,0,0,0,0,1,0,19,20,0,0,0,1,19,20
Finland,FIN03,BETPEN,FIN03_12,1,1.022844335,0.998579332,Bp,Broadleaved,650.000004,25.49509765,62.5,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN03,BETPEN,FIN03_16,1,1.022844335,0.998579332,Bp,Broadleaved,650.000004,25.49509765,62.5,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN03,BETPEN,FIN03_19,1,1.022844335,0.998579332,Bp,Broadleaved,650.000004,25.49509765,62.5,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN03,BETPEN,FIN03_34,1,1.022844335,0.998579332,Bp,Broadleaved,650.000004,25.49509765,62.5,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN03,BETPEN,FIN03_35,1,1.022844335,0.998579332,Bp,Broadleaved,650.000004,25.49509765,62.5,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN03,BETPEN,FIN03_9,1,1.022844335,0.998579332,Bp,Broadleaved,650.000004,25.49509765,62.5,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN04,BETPEN,FIN04_1,2,0.901911052,0.926676204,BpPa,Broadleaved,650.000004,25.49509765,62.5,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN04,BETPEN,FIN04_50,2,0.901911052,0.926676204,BpPa,Broadleaved,650.000004,25.49509765,62.5,0,0,0,49,1,50,0,0,0,0,0,50,50,49,1,50
Finland,FIN04,BETPEN,FIN04_2,2,0.901911052,0.926676204,BpPa,Broadleaved,650.000004,25.49509765,62.5,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN04,PICABI,FIN04_17,2,0.901911052,0.926676204,BpPa,Conifer,650.000004,25.49509765,62.5,0,0,0,0,0,0,4,0,16,20,0,0,0,4,16,20
Finland,FIN04,PICABI,FIN04_35,2,0.901911052,0.926676204,BpPa,Conifer,650.000004,25.49509765,62.5,0,0,0,0,0,0,3,0,17,20,0,0,0,3,17,20
Finland,FIN04,PICABI,FIN04_12,2,0.901911052,0.926676204,BpPa,Conifer,650.000004,25.49509765,62.5,0,0,0,0,0,0,9,0,11,20,0,0,0,9,11,20
Finland,FIN05,BETPEN,FIN05_35,2,0.634448712,0.867589236,BpPs,Broadleaved,650.000005,25.49509767,62.54,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN05,BETPEN,FIN05_42,2,0.634448712,0.867589236,BpPs,Broadleaved,650.000005,25.49509767,62.54,0,0,0,46,4,50,0,0,0,0,0,50,50,46,4,50
Finland,FIN05,BETPEN,FIN05_45,2,0.634448712,0.867589236,BpPs,Broadleaved,650.000005,25.49509767,62.54,0,0,0,49,1,50,0,0,0,0,0,50,50,49,1,50
Finland,FIN05,PINSYL,FIN05_28,2,0.634448712,0.867589236,BpPs,Conifer,629.1989489,24.93131762,62.54,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN05,PINSYL,FIN05_32,2,0.634448712,0.867589236,BpPs,Conifer,629.1989489,24.93131762,62.54,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN05,PINSYL,FIN05_38,2,0.634448712,0.867589236,BpPs,Conifer,629.1989489,24.93131762,62.54,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN06,PICABI,FIN06_2,1,0.037257763,0.118064158,Pa,Conifer,0,0,62.65,0,0,0,0,0,0,2,0,18,20,0,0,0,2,18,20
Finland,FIN06,PICABI,FIN06_21,1,0.037257763,0.118064158,Pa,Conifer,0,0,62.65,0,0,0,0,0,0,2,0,18,20,0,0,0,2,18,20
Finland,FIN06,PICABI,FIN06_31,1,0.037257763,0.118064158,Pa,Conifer,0,0,62.65,0,0,0,0,0,0,1,0,19,20,0,0,0,1,19,20
Finland,FIN06,PICABI,FIN06_46,1,0.037257763,0.118064158,Pa,Conifer,0,0,62.65,0,0,0,0,0,0,4,0,16,20,0,0,0,4,16,20
Finland,FIN06,PICABI,FIN06_54,1,0.037257763,0.118064158,Pa,Conifer,0,0,62.65,0,0,0,0,0,0,4,0,16,20,0,0,0,4,16,20
Finland,FIN06,PICABI,FIN06_6,1,0.037257763,0.118064158,Pa,Conifer,0,0,62.65,0,0,0,0,0,0,7,0,13,20,0,0,0,7,13,20
Finland,FIN07,BETPEN,FIN07_12,1,0.044759533,0.171538761,Bp,Broadleaved,0,0,62.67,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN07,BETPEN,FIN07_3,1,0.044759533,0.171538761,Bp,Broadleaved,0,0,62.67,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN07,BETPEN,FIN07_48,1,0.044759533,0.171538761,Bp,Broadleaved,0,0,62.67,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN07,BETPEN,FIN07_49,1,0.044759533,0.171538761,Bp,Broadleaved,0,0,62.67,0,0,0,47,3,50,0,0,0,0,0,50,50,47,3,50
Finland,FIN07,BETPEN,FIN07_53,1,0.044759533,0.171538761,Bp,Broadleaved,0,0,62.67,0,0,0,49,1,50,0,0,0,0,0,50,50,49,1,50
Finland,FIN07,BETPEN,FIN07_58,1,0.044759533,0.171538761,Bp,Broadleaved,0,0,62.67,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN08,BETPEN,FIN08_11,1,0.054859299,0.175975125,Bp,Broadleaved,650.000004,25.49509765,62.67,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN08,BETPEN,FIN08_17,1,0.054859299,0.175975125,Bp,Broadleaved,650.000004,25.49509765,62.67,0,0,0,49,1,50,0,0,0,0,0,50,50,49,1,50
Finland,FIN08,BETPEN,FIN08_21,1,0.054859299,0.175975125,Bp,Broadleaved,650.000004,25.49509765,62.67,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN08,BETPEN,FIN08_23,1,0.054859299,0.175975125,Bp,Broadleaved,650.000004,25.49509765,62.67,0,0,0,49,1,50,0,0,0,0,0,50,50,49,1,50
Finland,FIN08,BETPEN,FIN08_4,1,0.054859299,0.175975125,Bp,Broadleaved,650.000004,25.49509765,62.67,0,0,0,49,1,50,0,0,0,0,0,50,50,49,1,50
Finland,FIN08,BETPEN,FIN08_48,1,0.054859299,0.175975125,Bp,Broadleaved,650.000004,25.49509765,62.67,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN09,PINSYL,FIN09_15,1,0.081688743,0.173896551,Ps,Conifer,650.000005,25.49509767,62.68,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN09,PINSYL,FIN09_19,1,0.081688743,0.173896551,Ps,Conifer,650.000005,25.49509767,62.68,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN09,PINSYL,FIN09_28,1,0.081688743,0.173896551,Ps,Conifer,650.000005,25.49509767,62.68,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN09,PINSYL,FIN09_31,1,0.081688743,0.173896551,Ps,Conifer,650.000005,25.49509767,62.68,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN09,PINSYL,FIN09_50,1,0.081688743,0.173896551,Ps,Conifer,650.000005,25.49509767,62.68,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN09,PINSYL,FIN09_54,1,0.081688743,0.173896551,Ps,Conifer,650.000005,25.49509767,62.68,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN10,PICABI,FIN10_10,1,0.066272081,0.078515764,Pa,Conifer,650.000004,25.49509765,62.7,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN10,PICABI,FIN10_26,1,0.066272081,0.078515764,Pa,Conifer,650.000004,25.49509765,62.7,0,0,0,0,0,0,1,0,19,20,0,0,0,1,19,20
Finland,FIN10,PICABI,FIN10_27,1,0.066272081,0.078515764,Pa,Conifer,650.000004,25.49509765,62.7,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN10,PICABI,FIN10_34,1,0.066272081,0.078515764,Pa,Conifer,650.000004,25.49509765,62.7,0,0,0,0,0,0,1,0,19,20,0,0,0,1,19,20
Finland,FIN10,PICABI,FIN10_39,1,0.066272081,0.078515764,Pa,Conifer,650.000004,25.49509765,62.7,0,0,0,0,0,0,2,0,18,20,0,0,0,2,18,20
Finland,FIN10,PICABI,FIN10_49,1,0.066272081,0.078515764,Pa,Conifer,650.000004,25.49509765,62.7,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,20
Finland,FIN11,BETPEN,FIN11_19,1,0.116323678,0.257318641,Bp,Broadleaved,650.000005,25.49509767,62.7,0,0,0,49,1,50,0,0,0,0,0,50,50,49,1,50
Finland,FIN11,BETPEN,FIN11_23,1,0.116323678,0.257318641,Bp,Broadleaved,650.000005,25.49509767,62.7,0,0,0,48,2,50,0,0,0,0,0,50,50,48,2,50
Finland,FIN11,BETPEN,FIN11_28,1,0.116323678,0.257318641,Bp,Broadleaved,650.000005,25.49509767,62.7,0,0,0,47,3,50,0,0,0,0,0,50,50,47,3,50
Finland,FIN11,BETPEN,FIN11_39,1,0.116323678,0.257318641,Bp,Broadleaved,650.000005,25.49509767,62.7,0,0,0,49,1,50,0,0,0,0,0,50,50,49,1,50
Finland,FIN11,BETPEN,FIN11_45,1,0.116323678,0.257318641,Bp,Broadleaved,650.000005,25.49509767,62.7,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN11,BETPEN,FIN11_72,1,0.116323678,0.257318641,Bp,Broadleaved,650.000005,25.49509767,62.7,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN12,BETPEN,FIN12_10,3,1.03763198,1.180260988,BpPaPs,Broadleaved,650.0000048,25.49509766,63.02,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN12,BETPEN,FIN12_82,3,1.03763198,1.180260988,BpPaPs,Broadleaved,650.0000048,25.49509766,63.02,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN12,BETPEN,FIN12_57,3,1.03763198,1.180260988,BpPaPs,Broadleaved,650.0000048,25.49509766,63.02,0,0,0,50,0,50,0,0,0,0,0,50,50,50,0,50
Finland,FIN12,PICABI,FIN12_86,3,1.03763198,1.180260988,BpPaPs,Conifer,175.8582854,12.64422905,63.02,0,0,0,0,0,0,2,0,18,20,0,0,0,2,18,20
Finland,FIN12,PICABI,FIN12_87,3,1.03763198,1.180260988,BpPaPs,Conifer,175.8582854,12.64422905,63.02,0,0,0,0,0,0,2,0,18,20,0,0,0,2,18,20
Finland,FIN12,PICABI,FIN12_90,3,1.03763198,1.180260988,BpPaPs,Conifer,175.8582854,12.64422905,63.02,0,0,0,0,0,0,3,0,17,20,0,0,0,3,17,20
